,LogisticRegression,SVM_Linear,SVM_RBF,KNN,LightGBM,ExtraTrees,RandomForest,GradientBoosting,NaiveBayes,XGBoost
LogisticRegression,0.0,0.3181928006703815,1.2134433745858961,2.026519657419852,0.7400612610708747,3.022185620413525,2.0426422255973278,2.360498897331739,2.4756378222785753,3.4350843582331656
SVM_Linear,-0.3181928006703815,0.0,0.768022560213055,1.5852493559201815,0.6333136876178818,2.79648706958304,1.9463746445556884,1.990369164196418,2.409402110666677,3.100698274717556
SVM_RBF,-1.2134433745858961,-0.768022560213055,0.0,1.270060328775967,0.35515245079241464,3.1067447812288225,1.7189057141969535,2.07750588565886,2.1531385396945373,3.0019530981222946
KNN,-2.026519657419852,-1.5852493559201815,-1.270060328775967,0.0,-0.24754672204880313,1.711387546216757,0.5681182489052494,0.9143472653060695,1.3400229182022891,1.9809549262393262
LightGBM,-0.7400612610708747,-0.6333136876178818,-0.35515245079241464,0.24754672204880313,0.0,1.4762753419171355,0.8287545942369853,1.120371815352454,1.3547325001064983,2.1761106716566645
ExtraTrees,-3.022185620413525,-2.79648706958304,-3.1067447812288225,-1.711387546216757,-1.4762753419171355,0.0,-1.2319772662796002,-0.7317362016438436,0.33921218526429686,0.7037162570296864
RandomForest,-2.0426422255973278,-1.9463746445556884,-1.7189057141969535,-0.5681182489052494,-0.8287545942369853,1.2319772662796002,0.0,0.5736468847926844,0.9507085122722159,1.8655566925508233
GradientBoosting,-2.360498897331739,-1.990369164196418,-2.07750588565886,-0.9143472653060695,-1.120371815352454,0.7317362016438436,-0.5736468847926844,0.0,0.698944505132496,1.2694511465959892
NaiveBayes,-2.4756378222785753,-2.409402110666677,-2.1531385396945373,-1.3400229182022891,-1.3547325001064983,-0.33921218526429686,-0.9507085122722159,-0.698944505132496,0.0,0.1901220016264923
XGBoost,-3.4350843582331656,-3.100698274717556,-3.0019530981222946,-1.9809549262393262,-2.1761106716566645,-0.7037162570296864,-1.8655566925508233,-1.2694511465959892,-0.1901220016264923,0.0
