Model_A,Model_B,AUC_A,AUC_B,ΔAUC,Z_stat,p_value,Significant (α=0.05),Significant (α=0.01),p_value_bonferroni,Significant Bonf. (α=0.05)
LogisticRegression,XGBoost,0.7904761904761904,0.6647619047619048,0.12571428571428567,3.4350843582331656,0.000592369397048922,✓,✓,0.02665662286720149,✓
SVM_RBF,ExtraTrees,0.7739682539682539,0.6958730158730159,0.078095238095238,3.1067447812288225,0.001891596306008623,✓,✓,0.08512183377038803,✗
SVM_Linear,XGBoost,0.786031746031746,0.6647619047619048,0.1212698412698412,3.100698274717556,0.0019306490868055623,✓,✓,0.08687920890625031,✗
LogisticRegression,ExtraTrees,0.7904761904761904,0.6958730158730159,0.09460317460317458,3.022185620413525,0.002509566086285309,✓,✓,0.11293047388283892,✗
SVM_RBF,XGBoost,0.7739682539682539,0.6647619047619048,0.10920634920634908,3.0019530981222946,0.0026825350227684254,✓,✓,0.12071407602457915,✗
SVM_Linear,ExtraTrees,0.786031746031746,0.6958730158730159,0.0901587301587301,2.79648706958304,0.005166147815617362,✓,✓,0.23247665170278128,✗
LogisticRegression,NaiveBayes,0.7904761904761904,0.6761904761904761,0.11428571428571432,2.4756378222785753,0.01329984182424157,✓,✗,0.5984928820908707,✗
SVM_Linear,NaiveBayes,0.786031746031746,0.6761904761904761,0.10984126984126985,2.409402110666677,0.015978681915304514,✓,✗,0.7190406861887031,✗
LogisticRegression,GradientBoosting,0.7904761904761904,0.7158730158730159,0.07460317460317456,2.360498897331739,0.018250372575840373,✓,✗,0.8212667659128168,✗
LightGBM,XGBoost,0.7593650793650794,0.6647619047619048,0.09460317460317458,2.1761106716566645,0.02954698614501807,✓,✗,1.0,✗
SVM_RBF,NaiveBayes,0.7739682539682539,0.6761904761904761,0.09777777777777774,2.1531385396945373,0.03130779216364566,✓,✗,1.0,✗
SVM_RBF,GradientBoosting,0.7739682539682539,0.7158730158730159,0.05809523809523798,2.07750588565886,0.037754892585383754,✓,✗,1.0,✗
