Model,AUC,PR_AUC,Accuracy,Balanced_Accuracy,Precision,Recall,F1,Specificity,n_feats
LogisticRegression,0.797 ± 0.084,0.837 ± 0.136,0.733 ± 0.151,0.726 ± 0.159,0.790 ± 0.152,0.730 ± 0.174,0.748 ± 0.149,0.722 ± 0.252,7.600 ± 6.066
SVM_Linear,0.796 ± 0.081,0.830 ± 0.125,0.764 ± 0.108,0.761 ± 0.115,0.803 ± 0.139,0.784 ± 0.104,0.786 ± 0.098,0.739 ± 0.186,7.600 ± 6.066
SVM_RBF,0.796 ± 0.082,0.833 ± 0.128,0.762 ± 0.097,0.761 ± 0.101,0.797 ± 0.094,0.793 ± 0.140,0.785 ± 0.084,0.730 ± 0.156,7.600 ± 6.066
KNN,0.782 ± 0.096,0.794 ± 0.158,0.679 ± 0.139,0.692 ± 0.124,0.744 ± 0.169,0.725 ± 0.198,0.706 ± 0.141,0.660 ± 0.235,7.600 ± 6.066
LightGBM,0.764 ± 0.079,0.784 ± 0.129,0.744 ± 0.087,0.740 ± 0.079,0.764 ± 0.127,0.758 ± 0.141,0.756 ± 0.118,0.722 ± 0.065,7.600 ± 6.066
ExtraTrees,0.741 ± 0.095,0.782 ± 0.168,0.685 ± 0.120,0.677 ± 0.120,0.735 ± 0.111,0.683 ± 0.194,0.695 ± 0.141,0.672 ± 0.203,7.600 ± 6.066
RandomForest,0.739 ± 0.090,0.780 ± 0.142,0.670 ± 0.055,0.664 ± 0.073,0.701 ± 0.121,0.750 ± 0.111,0.711 ± 0.059,0.577 ± 0.194,7.600 ± 6.066
GradientBoosting,0.733 ± 0.095,0.768 ± 0.120,0.707 ± 0.135,0.691 ± 0.162,0.731 ± 0.107,0.778 ± 0.165,0.744 ± 0.117,0.604 ± 0.262,7.600 ± 6.066
NaiveBayes,0.724 ± 0.166,0.772 ± 0.120,0.660 ± 0.162,0.612 ± 0.192,0.660 ± 0.146,0.910 ± 0.107,0.752 ± 0.104,0.314 ± 0.399,7.600 ± 6.066
XGBoost,0.666 ± 0.151,0.741 ± 0.166,0.674 ± 0.108,0.670 ± 0.116,0.713 ± 0.107,0.716 ± 0.172,0.701 ± 0.112,0.624 ± 0.184,7.600 ± 6.066
