,SVM_Linear,LogisticRegression,SVM_RBF,NaiveBayes,ExtraTrees,KNN,GradientBoosting,RandomForest,XGBoost,LightGBM
SVM_Linear,1.0,0.059388280085876086,0.7008196710674389,0.007698783000900123,0.282128921973978,0.08638350291422824,0.008424250706890443,0.041645343841805876,0.0010170627898785554,0.0007008515695812501
LogisticRegression,0.059388280085876086,1.0,0.22373575487464847,0.0025331367846879583,0.08402188583298745,0.015485297926105191,0.0011230952244608283,0.008430352974296246,0.00010126314710036699,0.0002192640466237755
SVM_RBF,0.7008196710674389,0.22373575487464847,1.0,0.011243953822564604,0.44788289182836505,0.1467171808436503,0.02605046087861524,0.06871591929960429,0.0023597297112511245,0.0011042670770725308
NaiveBayes,0.007698783000900123,0.0025331367846879583,0.011243953822564604,1.0,0.0590234531417593,0.18302635668886158,0.8580520215253072,0.34516711464345107,0.9951978455306059,0.6503446063674025
ExtraTrees,0.282128921973978,0.08402188583298745,0.44788289182836505,0.0590234531417593,1.0,0.4994431411794489,0.054401737425645455,0.2085449971683372,0.01983478385241959,0.00500536982918668
KNN,0.08638350291422824,0.015485297926105191,0.1467171808436503,0.18302635668886158,0.4994431411794489,1.0,0.12410996808498793,0.5010832400874875,0.04757831884563699,0.032187649780272866
GradientBoosting,0.008424250706890443,0.0011230952244608283,0.02605046087861524,0.8580520215253072,0.054401737425645455,0.12410996808498793,1.0,0.2154730196090059,0.7862409326708149,0.46327408255973235
RandomForest,0.041645343841805876,0.008430352974296246,0.06871591929960429,0.34516711464345107,0.2085449971683372,0.5010832400874875,0.2154730196090059,1.0,0.04824730432454736,0.04095576344294063
XGBoost,0.0010170627898785554,0.00010126314710036699,0.0023597297112511245,0.9951978455306059,0.01983478385241959,0.04757831884563699,0.7862409326708149,0.04824730432454736,1.0,0.44142131706551
LightGBM,0.0007008515695812501,0.0002192640466237755,0.0011042670770725308,0.6503446063674025,0.00500536982918668,0.032187649780272866,0.46327408255973235,0.04095576344294063,0.44142131706551,1.0
