Competitor,Competitor_Mean_AUC,ΔMean_AUC,p_value,p_Bonferroni,Significant_uncorrected,Significant_Bonferroni
NaiveBayes,0.6035,+0.1286,3.78e-02,1.00e+00,✓,✗
SVM_RBF,0.6048,+0.1273,1.28e-01,1.00e+00,✗,✗
SVM_Linear,0.6260,+0.1061,1.12e-01,1.00e+00,✗,✗
XGBoost,0.6507,+0.0814,7.94e-02,1.00e+00,✗,✗
LogisticRegression,0.6529,+0.0792,1.33e-01,1.00e+00,✗,✗
LightGBM,0.6756,+0.0564,7.08e-02,1.00e+00,✗,✗
GradientBoosting,0.7011,+0.0310,1.40e-01,1.00e+00,✗,✗
RandomForest,0.7159,+0.0162,4.20e-01,1.00e+00,✗,✗
ExtraTrees,0.7275,+0.0045,5.55e-01,1.00e+00,✗,✗
