,KNN,ExtraTrees,RandomForest,GradientBoosting,LightGBM,LogisticRegression,XGBoost,SVM_Linear,SVM_RBF,NaiveBayes
KNN,1.0,0.5552084701362295,0.42015981254057766,0.14042542314248668,0.07079914727164517,0.13317361165409075,0.0793584633101186,0.11161314020036564,0.12753811540065638,0.03777313964364341
ExtraTrees,0.5552084701362295,1.0,0.7537487275722415,0.20953018394633172,0.10637263918901428,0.2600395074664217,0.14318940333249372,0.2288639830354654,0.3065180241472878,0.07708866808169311
RandomForest,0.42015981254057766,0.7537487275722415,1.0,0.21625123914271172,0.14358310065880314,0.39984908056752466,0.12960735923137132,0.35785037683977716,0.5008508429142553,0.13271156217198013
GradientBoosting,0.14042542314248668,0.20953018394633172,0.21625123914271172,1.0,0.6525764866143267,0.9258681948659748,0.7084784495521357,0.9777755914824193,0.7802901670516891,0.4163225910792612
LightGBM,0.07079914727164517,0.10637263918901428,0.14358310065880314,0.6525764866143267,1.0,0.6281996768318792,0.8674080287293002,0.7189072393699845,0.520770958151456,0.6424196876968469
LogisticRegression,0.13317361165409075,0.2600395074664217,0.39984908056752466,0.9258681948659748,0.6281996768318792,1.0,0.7208402705130621,0.7785177946907179,0.8332438731468674,0.2966377710778988
XGBoost,0.0793584633101186,0.14318940333249372,0.12960735923137132,0.7084784495521357,0.8674080287293002,0.7208402705130621,1.0,0.8060083052494176,0.5717723419833864,0.5664523064415926
SVM_Linear,0.11161314020036564,0.2288639830354654,0.35785037683977716,0.9777755914824193,0.7189072393699845,0.7785177946907179,0.8060083052494176,1.0,0.7471268374329969,0.37263690379739833
SVM_RBF,0.12753811540065638,0.3065180241472878,0.5008508429142553,0.7802901670516891,0.520770958151456,0.8332438731468674,0.5717723419833864,0.7471268374329969,1.0,0.2668200052373847
NaiveBayes,0.03777313964364341,0.07708866808169311,0.13271156217198013,0.4163225910792612,0.6424196876968469,0.2966377710778988,0.5664523064415926,0.37263690379739833,0.2668200052373847,1.0
