,KNN,ExtraTrees,RandomForest,GradientBoosting,LightGBM,LogisticRegression,XGBoost,SVM_Linear,SVM_RBF,NaiveBayes
KNN,0.0,0.5899734191708564,0.8061440194532834,1.4742086442712277,1.8067635945954332,1.5017038403649945,1.75442060451356,1.5909841618109337,1.5238823013562202,2.077308016688967
ExtraTrees,-0.5899734191708564,0.0,0.31370022802038,1.2548583556153694,1.614714023739286,1.126297755599285,1.4640166345592318,1.2032903474708794,1.0225555733949798,1.7678339461744703
RandomForest,-0.8061440194532834,-0.31370022802038,0.0,1.2365579500881752,1.4625772187695318,0.8418907997954864,1.515652046106458,0.9194688780050394,0.6731516099274334,1.5034945465578275
GradientBoosting,-1.4742086442712277,-1.2548583556153694,-1.2365579500881752,0.0,0.45018578300063933,-0.09304451734739883,0.3739003587236838,0.02785776816368171,-0.27894091697264806,0.8128176908764273
LightGBM,-1.8067635945954332,-1.614714023739286,-1.4625772187695318,-0.45018578300063933,0.0,-0.48426237186020304,-0.16695173115210926,-0.35991962659575766,-0.6421574485409013,0.46431833774759634
LogisticRegression,-1.5017038403649945,-1.126297755599285,-0.8418907997954864,0.09304451734739883,0.48426237186020304,0.0,0.35733601603321075,0.2812511246268915,-0.21054302741205724,1.043670698297101
XGBoost,-1.75442060451356,-1.4640166345592318,-1.515652046106458,-0.3739003587236838,0.16695173115210926,-0.35733601603321075,0.0,-0.24557879566054872,-0.5654432088118784,0.5732841632892469
SVM_Linear,-1.5909841618109337,-1.2032903474708794,-0.9194688780050394,-0.02785776816368171,0.35991962659575766,-0.2812511246268915,0.24557879566054872,0.0,-0.32243016184603296,0.8915449208177451
SVM_RBF,-1.5238823013562202,-1.0225555733949798,-0.6731516099274334,0.27894091697264806,0.6421574485409013,0.21054302741205724,0.5654432088118784,0.32243016184603296,0.0,1.1104155390113528
NaiveBayes,-2.077308016688967,-1.7678339461744703,-1.5034945465578275,-0.8128176908764273,-0.46431833774759634,-1.043670698297101,-0.5732841632892469,-0.8915449208177451,-1.1104155390113528,0.0
