Model,AUC,PR_AUC,Accuracy,Balanced_Accuracy,Precision,Recall,F1,Specificity,n_feats
KNN,0.732 ± 0.070,0.765 ± 0.090,0.713 ± 0.063,0.684 ± 0.070,0.703 ± 0.089,0.818 ± 0.069,0.754 ± 0.072,0.549 ± 0.167,11.600 ± 5.177
ExtraTrees,0.728 ± 0.081,0.780 ± 0.125,0.669 ± 0.121,0.686 ± 0.100,0.744 ± 0.125,0.656 ± 0.204,0.677 ± 0.133,0.715 ± 0.149,11.600 ± 5.177
RandomForest,0.716 ± 0.075,0.765 ± 0.103,0.695 ± 0.125,0.708 ± 0.086,0.741 ± 0.115,0.730 ± 0.279,0.701 ± 0.158,0.685 ± 0.153,11.600 ± 5.177
GradientBoosting,0.701 ± 0.080,0.748 ± 0.118,0.661 ± 0.061,0.677 ± 0.038,0.718 ± 0.152,0.714 ± 0.157,0.691 ± 0.081,0.641 ± 0.171,11.600 ± 5.177
LightGBM,0.676 ± 0.108,0.744 ± 0.085,0.602 ± 0.098,0.601 ± 0.074,0.661 ± 0.114,0.599 ± 0.192,0.609 ± 0.145,0.602 ± 0.190,11.600 ± 5.177
LogisticRegression,0.653 ± 0.164,0.720 ± 0.074,0.630 ± 0.140,0.618 ± 0.186,0.701 ± 0.082,0.633 ± 0.187,0.651 ± 0.111,0.603 ± 0.338,11.600 ± 5.177
XGBoost,0.651 ± 0.099,0.721 ± 0.152,0.575 ± 0.098,0.588 ± 0.106,0.661 ± 0.172,0.572 ± 0.164,0.590 ± 0.099,0.605 ± 0.214,11.600 ± 5.177
SVM_Linear,0.626 ± 0.190,0.688 ± 0.075,0.630 ± 0.157,0.607 ± 0.203,0.650 ± 0.096,0.764 ± 0.174,0.696 ± 0.111,0.450 ± 0.274,11.600 ± 5.177
SVM_RBF,0.605 ± 0.224,0.696 ± 0.170,0.616 ± 0.132,0.629 ± 0.128,0.551 ± 0.323,0.592 ± 0.375,0.558 ± 0.325,0.667 ± 0.204,11.600 ± 5.177
NaiveBayes,0.604 ± 0.143,0.713 ± 0.035,0.548 ± 0.080,0.523 ± 0.078,0.572 ± 0.112,0.871 ± 0.106,0.678 ± 0.057,0.175 ± 0.144,11.600 ± 5.177
