,NaiveBayes,LogisticRegression,RandomForest,GradientBoosting,XGBoost,SVM_RBF,SVM_Linear,KNN,ExtraTrees,LightGBM
NaiveBayes,1.0,0.3907240712280161,0.5369966609902221,0.5547794368219164,0.2207915425303062,0.16261853007370597,0.23026220151720111,0.20888600356628273,0.18042160802203377,0.11760574940512074
LogisticRegression,0.3907240712280161,1.0,0.8771934455471423,0.8743433421212271,0.5054828657837032,0.4954729575511928,0.292558419183239,0.46876303075473724,0.4338354439578498,0.22355680010194035
RandomForest,0.5369966609902221,0.8771934455471423,1.0,0.9829797859113242,0.35277152255111766,0.5510567710928314,0.6400795109561512,0.3476307930562368,0.2868921347647603,0.08539424127687381
GradientBoosting,0.5547794368219164,0.8743433421212271,0.9829797859113242,1.0,0.36301196351688325,0.5663506223571235,0.6586076861463717,0.36545859514292667,0.24989952125893067,0.11463323221712425
XGBoost,0.2207915425303062,0.5054828657837032,0.35277152255111766,0.36301196351688325,1.0,0.9284846966976071,0.7356041060872839,0.8329107225307852,0.7821714115696985,0.4439021470959602
SVM_RBF,0.16261853007370597,0.4954729575511928,0.5510567710928314,0.5663506223571235,0.9284846966976071,1.0,0.7651942403954684,0.7871984370287316,0.7071842626679776,0.5418091656575463
SVM_Linear,0.23026220151720111,0.292558419183239,0.6400795109561512,0.6586076861463717,0.7356041060872839,0.7651942403954684,1.0,0.6398216270149892,0.5912583688630935,0.362719213833989
KNN,0.20888600356628273,0.46876303075473724,0.3476307930562368,0.36545859514292667,0.8329107225307852,0.7871984370287316,0.6398216270149892,1.0,0.9262240703424607,0.7553015679947546
ExtraTrees,0.18042160802203377,0.4338354439578498,0.2868921347647603,0.24989952125893067,0.7821714115696985,0.7071842626679776,0.5912583688630935,0.9262240703424607,1.0,0.796809643166719
LightGBM,0.11760574940512074,0.22355680010194035,0.08539424127687381,0.11463323221712425,0.4439021470959602,0.5418091656575463,0.362719213833989,0.7553015679947546,0.796809643166719,1.0
