precision,recall,threshold
0.5517241379310345,1.0,6.576430884094325e-05
0.5565217391304348,1.0,0.0002479293992132145
0.5614035087719298,1.0,0.009268509673504382
0.5575221238938053,0.984375,0.011019677179387231
0.5625,0.984375,0.020110574947517165
0.5585585585585585,0.96875,0.026672147654251504
0.5636363636363636,0.96875,0.03412386929316483
0.5596330275229358,0.953125,0.035368021040336546
0.5555555555555556,0.9375,0.04218051399647558
0.5607476635514018,0.9375,0.051135387136860215
0.5660377358490566,0.9375,0.05265314280213949
0.5619047619047619,0.921875,0.05450193002491781
0.5576923076923077,0.90625,0.05515951744527469
0.5631067961165048,0.90625,0.05951585121078602
0.5686274509803921,0.90625,0.08545412575053345
0.5643564356435643,0.890625,0.09058565213124672
0.57,0.890625,0.11095431046086647
0.5757575757575758,0.890625,0.13498458041456232
0.5714285714285714,0.875,0.14266516121279957
0.5773195876288659,0.875,0.1494404352260235
0.5729166666666666,0.859375,0.14944858776622794
0.5789473684210527,0.859375,0.1545136817239069
0.5851063829787234,0.859375,0.16462744479264174
0.5913978494623656,0.859375,0.20111223622338373
0.5978260869565217,0.859375,0.20781515480878976
0.5934065934065934,0.84375,0.208182096110061
0.6,0.84375,0.2098319477014997
0.5955056179775281,0.828125,0.2128113960033626
0.6022727272727273,0.828125,0.22440036283551268
0.6091954022988506,0.828125,0.24977457912900572
0.6162790697674418,0.828125,0.254962916445821
0.6235294117647059,0.828125,0.25961345668340313
0.6309523809523809,0.828125,0.3008418988304812
0.6385542168674698,0.828125,0.31681266010586095
0.6341463414634146,0.8125,0.3329745214985744
0.6419753086419753,0.8125,0.345716660925265
0.6375,0.796875,0.34931815548634076
0.6329113924050633,0.78125,0.35920886031677934
0.6410256410256411,0.78125,0.3592708519300971
0.6493506493506493,0.78125,0.3679148465295599
0.6578947368421053,0.78125,0.4127390804126319
0.6533333333333333,0.765625,0.4225973627860997
0.6486486486486487,0.75,0.4741134590440572
0.6575342465753424,0.75,0.4933741925453759
0.6666666666666666,0.75,0.496082215995678
0.6619718309859155,0.734375,0.4971070283370973
0.6714285714285714,0.734375,0.4998576744672268
0.6666666666666666,0.71875,0.5060334652004674
0.6617647058823529,0.703125,0.5137113276174006
0.6716417910447762,0.703125,0.5375797395096034
0.6818181818181818,0.703125,0.5462356894707393
0.676923076923077,0.6875,0.5487796659362898
0.6875,0.6875,0.5612040896490814
0.6825396825396826,0.671875,0.5688498248677433
0.6774193548387096,0.65625,0.6185413432151091
0.6885245901639344,0.65625,0.6398291005397198
0.6833333333333333,0.640625,0.6614828750601031
0.6779661016949152,0.625,0.6702712410667924
0.6896551724137931,0.625,0.6763219463851566
0.6842105263157895,0.609375,0.6812485833684961
0.6785714285714286,0.59375,0.6893434332598012
0.6909090909090909,0.59375,0.7144705211376415
0.6851851851851852,0.578125,0.7160587597869732
0.6981132075471698,0.578125,0.7265663198423981
0.7115384615384616,0.578125,0.7324731595883354
0.7058823529411765,0.5625,0.7402986795817652
0.72,0.5625,0.7524081451452778
0.7346938775510204,0.5625,0.7563648350804228
0.75,0.5625,0.7708361487194507
0.7446808510638298,0.546875,0.7830510204408865
0.7608695652173914,0.546875,0.7838700279752123
0.7777777777777778,0.546875,0.7849078167995536
0.7727272727272727,0.53125,0.7913477728742331
0.7674418604651163,0.515625,0.8543911149799859
0.7619047619047619,0.5,0.8890021685315801
0.7560975609756098,0.484375,0.8935050593258481
0.75,0.46875,0.8936773528423786
0.7435897435897436,0.453125,0.9099618797537177
0.7631578947368421,0.453125,0.9101698684027123
0.7837837837837838,0.453125,0.914259201337036
0.7777777777777778,0.4375,0.9211897983773567
0.8,0.4375,0.924799827141571
0.7941176470588235,0.421875,0.9392354578791143
0.8181818181818182,0.421875,0.9396065552982605
0.84375,0.421875,0.940253511868103
0.8387096774193549,0.40625,0.9432779081257491
0.8666666666666667,0.40625,0.9456316889297671
0.8620689655172413,0.390625,0.9460808136934987
0.8571428571428571,0.375,0.9489276950243474
0.8518518518518519,0.359375,0.951948262444214
0.8461538461538461,0.34375,0.965193679207212
0.84,0.328125,0.9711528177282501
0.875,0.328125,0.9747724096975682
0.8695652173913043,0.3125,0.9815280575360263
0.8636363636363636,0.296875,0.9837762109957134
0.9047619047619048,0.296875,0.9877195314793022
0.9,0.28125,0.9936460460855236
0.8947368421052632,0.265625,0.9944392122554032
0.8888888888888888,0.25,0.9945969140057511
0.9411764705882353,0.25,0.995101908246826
0.9375,0.234375,0.9954424637732612
1.0,0.234375,0.9968561842939776
1.0,0.21875,0.9979021435376779
1.0,0.203125,0.9980259040462371
1.0,0.1875,0.9987471743162019
1.0,0.171875,0.9987764666993721
1.0,0.15625,0.9988143700350443
1.0,0.140625,0.9992413945835024
1.0,0.125,0.9994791707139006
1.0,0.109375,0.999854510392727
1.0,0.09375,0.9999325890960646
1.0,0.078125,0.999950608681238
1.0,0.0625,0.999984049589149
1.0,0.046875,0.9999942102600652
1.0,0.03125,0.9999994566934484
1.0,0.015625,0.9999996327852897
1.0,0.0,
