Model,AUC,PR_AUC,Accuracy,Balanced_Accuracy,Precision,Recall,F1,Specificity,n_feats
XGBoost,0.808 ± 0.100,0.819 ± 0.148,0.619 ± 0.123,0.672 ± 0.113,0.661 ± 0.205,0.718 ± 0.234,0.648 ± 0.112,0.626 ± 0.228,20.000 ± 0.000
LightGBM,0.799 ± 0.115,0.845 ± 0.153,0.640 ± 0.101,0.680 ± 0.127,0.657 ± 0.209,0.713 ± 0.234,0.657 ± 0.134,0.646 ± 0.219,20.000 ± 0.000
RandomForest,0.755 ± 0.089,0.812 ± 0.124,0.606 ± 0.110,0.674 ± 0.037,0.663 ± 0.196,0.729 ± 0.262,0.637 ± 0.095,0.619 ± 0.222,20.000 ± 0.000
GradientBoosting,0.723 ± 0.118,0.763 ± 0.169,0.558 ± 0.120,0.620 ± 0.116,0.615 ± 0.231,0.672 ± 0.295,0.586 ± 0.138,0.568 ± 0.256,20.000 ± 0.000
LogisticRegression,0.714 ± 0.138,0.793 ± 0.159,0.592 ± 0.096,0.602 ± 0.102,0.607 ± 0.201,0.679 ± 0.188,0.619 ± 0.132,0.525 ± 0.109,20.000 ± 0.000
SVM_Linear,0.703 ± 0.152,0.792 ± 0.150,0.589 ± 0.100,0.611 ± 0.101,0.611 ± 0.172,0.732 ± 0.220,0.634 ± 0.097,0.490 ± 0.106,20.000 ± 0.000
ExtraTrees,0.694 ± 0.101,0.769 ± 0.124,0.588 ± 0.135,0.615 ± 0.140,0.607 ± 0.224,0.645 ± 0.275,0.597 ± 0.182,0.586 ± 0.105,20.000 ± 0.000
KNN,0.694 ± 0.100,0.770 ± 0.107,0.582 ± 0.124,0.645 ± 0.066,0.656 ± 0.235,0.656 ± 0.224,0.602 ± 0.115,0.634 ± 0.260,20.000 ± 0.000
SVM_RBF,0.683 ± 0.148,0.768 ± 0.162,0.557 ± 0.078,0.575 ± 0.100,0.575 ± 0.180,0.704 ± 0.253,0.602 ± 0.119,0.447 ± 0.054,20.000 ± 0.000
NaiveBayes,0.635 ± 0.056,0.731 ± 0.120,0.548 ± 0.087,0.528 ± 0.041,0.555 ± 0.182,0.695 ± 0.176,0.597 ± 0.128,0.361 ± 0.199,20.000 ± 0.000
