Metric,Value
ROC-AUC,0.6293556870479947
PR-AUC,0.6340075968395923
Balanced Acc.,0.6314102564102564
Sensitivity,0.7692307692307693
Specificity,0.4935897435897436
PPV,0.6550218340611353
NPV,0.6311475409836066
Kappa,0.2686762778505897
