Fold,Repeat,Fold_Within_Repeat,Split_Random_State,Outer_CV_Strategy,n_train,n_test,n_features,FS_N_FEATURES_SELECTED,FS_N_FEATURES_CONFIG,FS_N_FEATURES_MODE,FS_METHOD,train_class_distribution,test_class_distribution,test_patients,Model,AUC,Acc,BalAcc,PRAUC,Precision,Recall,F1,Specificity,Decision_Threshold,BestInnerAUC
1,1,1,100,repeated_stratified_group_kfold,92,22,10,10,10,fixed,elasticnet_then_mrmr,"{np.int64(1): 53, np.int64(0): 39}","{np.int64(1): 11, np.int64(0): 11}","['ADC_P1', 'ADC_P13', 'ADC_P21', 'ADC_P26', 'ADC_P3', 'ADC_P31', 'ADC_P37', 'ADC_P40', 'ADC_P49', 'ADC_P6', 'ADC_P9']",LogisticRegression,0.5,0.5,0.5,0.5,0.5,1.0,0.6666666666666666,0.0,0.4889082324363047,0.49
1,1,1,100,repeated_stratified_group_kfold,92,22,10,10,10,fixed,elasticnet_then_mrmr,"{np.int64(1): 53, np.int64(0): 39}","{np.int64(1): 11, np.int64(0): 11}","['ADC_P1', 'ADC_P13', 'ADC_P21', 'ADC_P26', 'ADC_P3', 'ADC_P31', 'ADC_P37', 'ADC_P40', 'ADC_P49', 'ADC_P6', 'ADC_P9']",NaiveBayes,0.743801652892562,0.5909090909090909,0.5909090909090908,0.727748885882857,0.5555555555555556,0.9090909090909091,0.6896551724137931,0.2727272727272727,0.8944581933708021,0.7284615384615385
1,1,1,100,repeated_stratified_group_kfold,92,22,10,10,10,fixed,elasticnet_then_mrmr,"{np.int64(1): 53, np.int64(0): 39}","{np.int64(1): 11, np.int64(0): 11}","['ADC_P1', 'ADC_P13', 'ADC_P21', 'ADC_P26', 'ADC_P3', 'ADC_P31', 'ADC_P37', 'ADC_P40', 'ADC_P49', 'ADC_P6', 'ADC_P9']",SVM_Linear,0.7851239669421488,0.5909090909090909,0.5909090909090909,0.7592836456472819,0.55,1.0,0.7096774193548387,0.18181818181818182,0.4007030320477884,0.6976923076923076
1,1,1,100,repeated_stratified_group_kfold,92,22,10,10,10,fixed,elasticnet_then_mrmr,"{np.int64(1): 53, np.int64(0): 39}","{np.int64(1): 11, np.int64(0): 11}","['ADC_P1', 'ADC_P13', 'ADC_P21', 'ADC_P26', 'ADC_P3', 'ADC_P31', 'ADC_P37', 'ADC_P40', 'ADC_P49', 'ADC_P6', 'ADC_P9']",SVM_RBF,0.768595041322314,0.6818181818181818,0.6818181818181819,0.7447412436048799,0.6111111111111112,1.0,0.7586206896551724,0.36363636363636365,0.41090131211195396,0.6784615384615384
1,1,1,100,repeated_stratified_group_kfold,92,22,10,10,10,fixed,elasticnet_then_mrmr,"{np.int64(1): 53, np.int64(0): 39}","{np.int64(1): 11, np.int64(0): 11}","['ADC_P1', 'ADC_P13', 'ADC_P21', 'ADC_P26', 'ADC_P3', 'ADC_P31', 'ADC_P37', 'ADC_P40', 'ADC_P49', 'ADC_P6', 'ADC_P9']",XGBoost,0.6033057851239669,0.5454545454545454,0.5454545454545454,0.5696409584567478,0.5294117647058824,0.8181818181818182,0.6428571428571429,0.2727272727272727,0.519297251701355,0.64
1,1,1,100,repeated_stratified_group_kfold,92,22,10,10,10,fixed,elasticnet_then_mrmr,"{np.int64(1): 53, np.int64(0): 39}","{np.int64(1): 11, np.int64(0): 11}","['ADC_P1', 'ADC_P13', 'ADC_P21', 'ADC_P26', 'ADC_P3', 'ADC_P31', 'ADC_P37', 'ADC_P40', 'ADC_P49', 'ADC_P6', 'ADC_P9']",LightGBM,0.7272727272727272,0.6818181818181818,0.6818181818181819,0.7058358308358309,0.6111111111111112,1.0,0.7586206896551724,0.36363636363636365,0.3819666644530991,0.5515384615384615
1,1,1,100,repeated_stratified_group_kfold,92,22,10,10,10,fixed,elasticnet_then_mrmr,"{np.int64(1): 53, np.int64(0): 39}","{np.int64(1): 11, np.int64(0): 11}","['ADC_P1', 'ADC_P13', 'ADC_P21', 'ADC_P26', 'ADC_P3', 'ADC_P31', 'ADC_P37', 'ADC_P40', 'ADC_P49', 'ADC_P6', 'ADC_P9']",ExtraTrees,0.743801652892562,0.7727272727272727,0.7727272727272727,0.6623959373959372,0.7142857142857143,0.9090909090909091,0.8,0.6363636363636364,0.4940504414757118,0.6813580246913581
2,1,2,100,repeated_stratified_group_kfold,91,23,10,10,10,fixed,elasticnet_then_mrmr,"{np.int64(1): 49, np.int64(0): 42}","{np.int64(1): 15, np.int64(0): 8}","['ADC_P14', 'ADC_P16', 'ADC_P23', 'ADC_P27', 'ADC_P28', 'ADC_P33', 'ADC_P36', 'ADC_P4', 'ADC_P41', 'ADC_P48', 'ADC_P5']",LogisticRegression,0.5,0.6521739130434783,0.5,0.6521739130434783,0.6521739130434783,1.0,0.7894736842105263,0.0,0.49342423984425804,0.49
2,1,2,100,repeated_stratified_group_kfold,91,23,10,10,10,fixed,elasticnet_then_mrmr,"{np.int64(1): 49, np.int64(0): 42}","{np.int64(1): 15, np.int64(0): 8}","['ADC_P14', 'ADC_P16', 'ADC_P23', 'ADC_P27', 'ADC_P28', 'ADC_P33', 'ADC_P36', 'ADC_P4', 'ADC_P41', 'ADC_P48', 'ADC_P5']",NaiveBayes,0.85,0.6521739130434783,0.5,0.9192273576097105,0.6521739130434783,1.0,0.7894736842105263,0.0,4.145204306820447e-67,0.5536363636363637
2,1,2,100,repeated_stratified_group_kfold,91,23,10,10,10,fixed,elasticnet_then_mrmr,"{np.int64(1): 49, np.int64(0): 42}","{np.int64(1): 15, np.int64(0): 8}","['ADC_P14', 'ADC_P16', 'ADC_P23', 'ADC_P27', 'ADC_P28', 'ADC_P33', 'ADC_P36', 'ADC_P4', 'ADC_P41', 'ADC_P48', 'ADC_P5']",SVM_Linear,0.35,0.6521739130434783,0.5,0.6374176548089592,0.6521739130434783,1.0,0.7894736842105263,0.0,0.48371902843018694,0.5773015873015872
