Comparison,Best_Model,Other_Model,Mean_AUC_Best,Mean_AUC_Other,Mean_AUC_Difference,Wilcoxon_Statistic,Wilcoxon_p_value,Wilcoxon_q_value_FDR
KNN vs ExtraTrees,KNN,ExtraTrees,0.7415067693744165,0.6616168689698101,0.07988990040460635,3.0,0.3125,0.4017857142857143
KNN vs GradientBoosting,KNN,GradientBoosting,0.7415067693744165,0.6118767507002801,0.12963001867413637,1.0,0.125,0.225
KNN vs LightGBM,KNN,LightGBM,0.7415067693744165,0.6142771553065671,0.1272296140678494,0.0,0.0625,0.225
KNN vs LogisticRegression,KNN,LogisticRegression,0.7415067693744165,0.6359617180205417,0.10554505135387493,2.0,0.1875,0.28125
KNN vs NaiveBayes,KNN,NaiveBayes,0.7415067693744165,0.6045969498910675,0.13690981948334896,3.0,0.625,0.625
KNN vs RandomForest,KNN,RandomForest,0.7415067693744165,0.615552443199502,0.12595432617491448,1.0,0.125,0.225
KNN vs SVM_Linear,KNN,SVM_Linear,0.7415067693744165,0.6522486772486773,0.08925809212573922,3.0,0.625,0.625
KNN vs SVM_RBF,KNN,SVM_RBF,0.7415067693744165,0.651923436041083,0.08958333333333339,0.0,0.0625,0.225
KNN vs XGBoost,KNN,XGBoost,0.7415067693744165,0.6784982882041707,0.0630084811702459,1.0,0.125,0.225
