Metric,Value
ROC-AUC,0.7178485576923078
PR-AUC,0.7725396416464235
Balanced Acc.,0.6514423076923077
Sensitivity,0.6875
Specificity,0.6153846153846154
PPV,0.6875
NPV,0.6153846153846154
Kappa,0.3028846153846154
