Model,AUC,PR_AUC,Accuracy,Balanced_Accuracy,Precision,Recall,F1,Specificity,n_feats
LogisticRegression,0.763 ± 0.066,0.818 ± 0.092,0.696 ± 0.088,0.705 ± 0.092,0.743 ± 0.100,0.711 ± 0.140,0.716 ± 0.065,0.699 ± 0.136,10.800 ± 5.404
KNN,0.688 ± 0.132,0.713 ± 0.121,0.624 ± 0.111,0.632 ± 0.139,0.668 ± 0.144,0.702 ± 0.135,0.670 ± 0.070,0.562 ± 0.228,10.800 ± 5.404
ExtraTrees,0.685 ± 0.092,0.718 ± 0.122,0.643 ± 0.088,0.657 ± 0.110,0.735 ± 0.149,0.596 ± 0.161,0.639 ± 0.090,0.719 ± 0.234,10.800 ± 5.404
SVM_RBF,0.674 ± 0.100,0.766 ± 0.103,0.602 ± 0.112,0.636 ± 0.123,0.671 ± 0.204,0.721 ± 0.196,0.659 ± 0.078,0.551 ± 0.358,10.800 ± 5.404
RandomForest,0.649 ± 0.127,0.688 ± 0.120,0.611 ± 0.114,0.614 ± 0.120,0.675 ± 0.095,0.643 ± 0.160,0.641 ± 0.066,0.585 ± 0.219,10.800 ± 5.404
GradientBoosting,0.644 ± 0.067,0.699 ± 0.106,0.629 ± 0.100,0.612 ± 0.096,0.665 ± 0.074,0.710 ± 0.201,0.667 ± 0.088,0.514 ± 0.257,10.800 ± 5.404
NaiveBayes,0.635 ± 0.082,0.704 ± 0.154,0.579 ± 0.150,0.534 ± 0.089,0.562 ± 0.182,0.806 ± 0.277,0.651 ± 0.203,0.262 ± 0.230,10.800 ± 5.404
LightGBM,0.618 ± 0.072,0.679 ± 0.109,0.575 ± 0.084,0.588 ± 0.082,0.651 ± 0.119,0.616 ± 0.208,0.599 ± 0.090,0.561 ± 0.255,10.800 ± 5.404
XGBoost,0.610 ± 0.090,0.679 ± 0.119,0.625 ± 0.069,0.635 ± 0.078,0.693 ± 0.138,0.667 ± 0.139,0.657 ± 0.021,0.602 ± 0.238,10.800 ± 5.404
SVM_Linear,0.558 ± 0.288,0.662 ± 0.233,0.605 ± 0.086,0.611 ± 0.107,0.656 ± 0.205,0.832 ± 0.220,0.688 ± 0.066,0.389 ± 0.423,10.800 ± 5.404
