Competitor,Competitor_Mean_AUC,ΔMean_AUC,p_value,p_Bonferroni,Significant_uncorrected,Significant_Bonferroni
SVM_Linear,0.5583,+0.2043,1.64e-03,7.39e-02,✓,✗
XGBoost,0.6100,+0.1526,2.56e-02,1.00e+00,✓,✗
LightGBM,0.6177,+0.1449,8.58e-03,3.86e-01,✓,✗
NaiveBayes,0.6353,+0.1274,1.64e-03,7.39e-02,✓,✗
GradientBoosting,0.6437,+0.1189,2.11e-02,9.50e-01,✓,✗
RandomForest,0.6489,+0.1138,3.35e-02,1.00e+00,✓,✗
SVM_RBF,0.6740,+0.0886,1.27e-03,5.71e-02,✓,✗
ExtraTrees,0.6846,+0.0780,2.82e-01,1.00e+00,✗,✗
KNN,0.6880,+0.0747,5.72e-02,1.00e+00,✗,✗
