,LogisticRegression,KNN,ExtraTrees,SVM_RBF,RandomForest,GradientBoosting,NaiveBayes,LightGBM,XGBoost,SVM_Linear
LogisticRegression,0.0,1.902140205906096,1.076423849840077,3.2228560117838763,2.1260070101412993,2.3058521143582706,3.1482265646731213,2.6285426757730823,2.23208362513067,3.1484342194508113
KNN,-1.902140205906096,0.0,-0.6671568984020381,1.0045257193973978,0.20602748928945958,0.8145352413824865,1.2958444322601705,1.12361255892496,0.9862904267171531,1.1223145605439715
ExtraTrees,-1.076423849840077,0.6671568984020381,0.0,1.3070911064674218,1.1527484577610279,1.4940957337661145,1.7069627247885097,1.7178095409077903,1.7183521168125564,1.5544708976647292
SVM_RBF,-3.2228560117838763,-1.0045257193973978,-1.3070911064674218,0.0,-0.7995448124632354,-0.2255945904793205,0.5131848208213966,0.0471267157702,-0.05372757719172734,0.28443897246488864
RandomForest,-2.1260070101412993,-0.20602748928945958,-1.1527484577610279,0.7995448124632354,0.0,0.9055590910023905,1.1978198622461393,1.3050048680516595,1.0788683740785292,0.9991527524484378
GradientBoosting,-2.3058521143582706,-0.8145352413824865,-1.4940957337661145,0.2255945904793205,-0.9055590910023905,0.0,0.6433966792249459,0.575409912142809,0.2746849320150498,0.39032130510019897
NaiveBayes,-3.1482265646731213,-1.2958444322601705,-1.7069627247885097,-0.5131848208213966,-1.1978198622461393,-0.6433966792249459,0.0,-0.3727790528307797,-0.4455827960984989,-0.34659179664164963
LightGBM,-2.6285426757730823,-1.12361255892496,-1.7178095409077903,-0.0471267157702,-1.3050048680516595,-0.575409912142809,0.3727790528307797,0.0,-0.16726723561288498,0.11858821089402827
XGBoost,-2.23208362513067,-0.9862904267171531,-1.7183521168125564,0.05372757719172734,-1.0788683740785292,-0.2746849320150498,0.4455827960984989,0.16726723561288498,0.0,0.2050933556626192
SVM_Linear,-3.1484342194508113,-1.1223145605439715,-1.5544708976647292,-0.28443897246488864,-0.9991527524484378,-0.39032130510019897,0.34659179664164963,-0.11858821089402827,-0.2050933556626192,0.0
