,LogisticRegression,KNN,ExtraTrees,SVM_RBF,RandomForest,GradientBoosting,NaiveBayes,LightGBM,XGBoost,SVM_Linear
LogisticRegression,1.0,0.057152827412713554,0.2817377407074434,0.0012691933615008558,0.03350267584091362,0.021118897093588673,0.0016426432278919896,0.008575159517789125,0.02560943647330521,0.0016414766279183159
KNN,0.057152827412713554,1.0,0.50467191918195,0.31512528072019674,0.8367694385642105,0.4153383918547965,0.19502908669416175,0.2611774258896057,0.32399061617289093,0.2617287174061509
ExtraTrees,0.2817377407074434,0.50467191918195,1.0,0.19118177137433623,0.24901364553441352,0.13515059890888925,0.08782898090354173,0.08583136069292235,0.08573240860265614,0.12007213328365632
SVM_RBF,0.0012691933615008558,0.31512528072019674,0.19118177137433623,1.0,0.42397457315043263,0.8215167485748881,0.6078220428950084,0.962412234882848,0.957152211106924,0.776073996102424
RandomForest,0.03350267584091362,0.8367694385642105,0.24901364553441352,0.42397457315043263,1.0,0.3651692699769902,0.23098715299706674,0.19189119016147838,0.2806464090717615,0.31772069976415174
GradientBoosting,0.021118897093588673,0.4153383918547965,0.13515059890888925,0.8215167485748881,0.3651692699769902,1.0,0.5199667376534369,0.565014102024007,0.7835583085379565,0.6962989710364519
NaiveBayes,0.0016426432278919896,0.19502908669416175,0.08782898090354173,0.6078220428950084,0.23098715299706674,0.5199667376534369,1.0,0.7093128943535275,0.6558986400323408,0.7288980096778712
LightGBM,0.008575159517789125,0.2611774258896057,0.08583136069292235,0.962412234882848,0.19189119016147838,0.565014102024007,0.7093128943535275,1.0,0.8671597831055836,0.9056016057824277
XGBoost,0.02560943647330521,0.32399061617289093,0.08573240860265614,0.957152211106924,0.2806464090717615,0.7835583085379565,0.6558986400323408,0.8671597831055836,1.0,0.8374991875108698
SVM_Linear,0.0016414766279183159,0.2617287174061509,0.12007213328365632,0.776073996102424,0.31772069976415174,0.6962989710364519,0.7288980096778712,0.9056016057824277,0.8374991875108698,1.0
