file_name,old_column_name,cleaned_column_name,final_column_name
T2_single_standardized.csv,MORPHOLOGICAL_MaxIntensityCoor-PerimeterCoor-2DSagittalSmallestDist(IBSI:No)[mm],Morph_MaxIntensityCoor_PerimeterCoor_2DSagittalSmallestDist_mm,Morph_MaxIntensityCoor_PerimeterCoor_2DSagittalSmallestDist_mm
T2_single_standardized.csv,MORPHOLOGICAL_RadiusSphereNorm-MaxIntensityCoor-PerimeterCoor-2DSagittalSmallestDist(IBSI:No)[],Morph_RadiusSphereNorm_MaxIntensityCoor_PerimeterCoor_2DSagittalSmallestDist,Morph_RadiusSphereNorm_MaxIntensityCoor_PerimeterCoor_2DSagittalSmallestDist
T2_single_standardized.csv,MORPHOLOGICAL_RadiusRoiNorm-MaxIntensityCoor-PerimeterCoor-2DSagittalSmallestDist(IBSI:No)[],Morph_RadiusRoiNorm_MaxIntensityCoor_PerimeterCoor_2DSagittalSmallestDist,Morph_RadiusRoiNorm_MaxIntensityCoor_PerimeterCoor_2DSagittalSmallestDist
T2_single_standardized.csv,MORPHOLOGICAL_Maximum3DDiameter(IBSI:L0JK)[mm],Morph_Maximum3DDiameter_mm,Morph_Maximum3DDiameter_mm
T2_single_standardized.csv,MORPHOLOGICAL_SphereDiameter(IBSI:No)[mm],Morph_SphereDiameter_mm,Morph_SphereDiameter_mm
T2_single_standardized.csv,MORPHOLOGICAL_IntegratedIntensity(IBSI:99N0)[Intensity],Morph_IntegratedIntensity_Intensity,Morph_IntegratedIntensity_Intensity
T2_single_standardized.csv,INTENSITY-BASED_MeanIntensity(IBSI:Q4LE)[],IB_MeanIntensity,IB_MeanIntensity
T2_single_standardized.csv,INTENSITY-BASED_IntensityVariance(IBSI:ECT3)[],IB_IntensityVariance,IB_IntensityVariance
T2_single_standardized.csv,INTENSITY-BASED_IntensitySkewness(IBSI:KE2A)[],IB_IntensitySkewness,IB_IntensitySkewness
T2_single_standardized.csv,INTENSITY-BASED_IntensityKurtosis(IBSI:IPH6)[],IB_IntensityKurtosis,IB_IntensityKurtosis
T2_single_standardized.csv,INTENSITY-BASED_MedianIntensity(IBSI:Y12H)[],IB_MedianIntensity,IB_MedianIntensity
T2_single_standardized.csv,INTENSITY-BASED_MinimumIntensity(IBSI:1GSF)[],IB_MinimumIntensity,IB_MinimumIntensity
T2_single_standardized.csv,INTENSITY-BASED_10thIntensityPercentile(IBSI:QG58)[],IB_10thIntensityPercentile,IB_10thIntensityPercentile
T2_single_standardized.csv,INTENSITY-BASED_25thIntensityPercentile(IBSI:No)[],IB_25thIntensityPercentile,IB_25thIntensityPercentile
T2_single_standardized.csv,INTENSITY-BASED_50thIntensityPercentile(IBSI:Y12H)[],IB_50thIntensityPercentile,IB_50thIntensityPercentile
T2_single_standardized.csv,INTENSITY-BASED_75thIntensityPercentile(IBSI:No)[],IB_75thIntensityPercentile,IB_75thIntensityPercentile
T2_single_standardized.csv,INTENSITY-BASED_90thIntensityPercentile(IBSI:8DWT)[],IB_90thIntensityPercentile,IB_90thIntensityPercentile
T2_single_standardized.csv,INTENSITY-BASED_StandardDeviation(IBSI:No)[],IB_StandardDeviation,IB_StandardDeviation
T2_single_standardized.csv,INTENSITY-BASED_MaximumIntensity(IBSI:84IY)[],IB_MaximumIntensity,IB_MaximumIntensity
T2_single_standardized.csv,INTENSITY-BASED_IntensityInterquartileRange(IBSI:SALO)[],IB_IntensityInterquartileRange,IB_IntensityInterquartileRange
T2_single_standardized.csv,INTENSITY-BASED_IntensityRange(IBSI:2OJQ)[],IB_IntensityRange,IB_IntensityRange
T2_single_standardized.csv,INTENSITY-BASED_IntensityBasedMeanAbsoluteDeviation(IBSI:4FUA)[],IB_IntensityBasedMeanAbsoluteDeviation,IB_IntensityBasedMeanAbsoluteDeviation
T2_single_standardized.csv,INTENSITY-BASED_IntensityBasedRobustMeanAbsoluteDeviation(IBSI:1128)[],IB_IntensityBasedRobustMeanAbsoluteDeviation,IB_IntensityBasedRobustMeanAbsoluteDeviation
T2_single_standardized.csv,INTENSITY-BASED_IntensityBasedMedianAbsoluteDeviation(IBSI:N72L)[],IB_IntensityBasedMedianAbsoluteDeviation,IB_IntensityBasedMedianAbsoluteDeviation
T2_single_standardized.csv,INTENSITY-BASED_IntensityBasedCoefficientOfVariation(IBSI:7TET)[],IB_IntensityBasedCoefficientOfVariation,IB_IntensityBasedCoefficientOfVariation
T2_single_standardized.csv,INTENSITY-BASED_IntensityBasedQuartileCoefficientOfDispersion(IBSI:9S40)[],IB_IntensityBasedQuartileCoefficientOfDispersion,IB_IntensityBasedQuartileCoefficientOfDispersion
T2_single_standardized.csv,INTENSITY-BASED_AreaUnderCurveCIVH(IBSI:No)[],IB_AreaUnderCurveCIVH,IB_AreaUnderCurveCIVH
T2_single_standardized.csv,INTENSITY-BASED_IntensityBasedEnergy(IBSI:N8CA)[],IB_IntensityBasedEnergy,IB_IntensityBasedEnergy
T2_single_standardized.csv,INTENSITY-BASED_RootMeanSquareIntensity(IBSI:5ZWQ)[],IB_RootMeanSquareIntensity,IB_RootMeanSquareIntensity
T2_single_standardized.csv,INTENSITY-BASED_TotalLesionGlycolysis(IBSI:No)[],IB_TotalLesionGlycolysis,IB_TotalLesionGlycolysis
T2_single_standardized.csv,INTENSITY-HISTOGRAM_IntensityHistogramMean(IBSI:X6K6)[Intensity],IH_IntensityHistogramMean_Intensity,IH_IntensityHistogramMean_Intensity
T2_single_standardized.csv,INTENSITY-HISTOGRAM_IntensityHistogramVariance(IBSI:CH89)[Intensity],IH_IntensityHistogramVariance_Intensity,IH_IntensityHistogramVariance_Intensity
T2_single_standardized.csv,INTENSITY-HISTOGRAM_IntensityHistogramSkewness(IBSI:88K1)[Intensity],IH_IntensityHistogramSkewness_Intensity,IH_IntensityHistogramSkewness_Intensity
T2_single_standardized.csv,INTENSITY-HISTOGRAM_IntensityHistogramKurtosis(IBSI:C3I7)[Intensity],IH_IntensityHistogramKurtosis_Intensity,IH_IntensityHistogramKurtosis_Intensity
T2_single_standardized.csv,INTENSITY-HISTOGRAM_IntensityHistogramMedian(IBSI:WIFQ)[Intensity],IH_IntensityHistogramMedian_Intensity,IH_IntensityHistogramMedian_Intensity
