fpr,tpr,threshold
0.0,0.0,inf
0.02,0.0,0.932951052730809
0.04,0.0,0.861684666775148
0.04,0.1111111111111111,0.6728354053833966
0.06,0.1111111111111111,0.6596496841740074
0.06,0.15873015873015872,0.6142246984999186
0.1,0.15873015873015872,0.59893639817153
0.1,0.23809523809523808,0.5852633015514076
0.12,0.23809523809523808,0.5835913594230101
0.12,0.3333333333333333,0.5668680710922083
0.14,0.3333333333333333,0.5652792129062474
0.14,0.36507936507936506,0.5497757357797829
0.16,0.36507936507936506,0.5473299371603102
0.16,0.3968253968253968,0.5437595387351019
0.18,0.3968253968253968,0.5422983693247552
0.18,0.4126984126984127,0.5401821031920255
0.2,0.4126984126984127,0.5380426232168899
0.2,0.4444444444444444,0.536532838089602
0.22,0.4444444444444444,0.5352833801979774
0.22,0.47619047619047616,0.5340969364722323
0.22,0.5079365079365079,0.5321314814469019
0.22,0.5714285714285714,0.5203490929713379
0.24,0.5714285714285714,0.5191132812276771
0.24,0.6031746031746031,0.515780097486853
0.26,0.6031746031746031,0.5139010871515739
0.26,0.6507936507936508,0.5084840103525151
0.28,0.6507936507936508,0.5081090349281562
0.28,0.6825396825396826,0.5016115416529583
0.3,0.6825396825396826,0.501558305031488
0.3,0.6984126984126984,0.5013934542999381
0.32,0.6984126984126984,0.500988672024619
0.32,0.7301587301587301,0.4990462960688806
0.34,0.7301587301587301,0.4987984553617042
0.34,0.7619047619047619,0.492131149908167
0.44,0.7619047619047619,0.47101802468150206
0.44,0.7936507936507936,0.46815066995335125
0.52,0.7936507936507936,0.4662189765866154
0.52,0.8412698412698413,0.46130881692581205
0.56,0.8412698412698413,0.4605639863639791
0.56,0.8571428571428571,0.45971862038361666
0.66,0.8571428571428571,0.45437490793151547
0.66,0.873015873015873,0.45420792118329206
0.68,0.873015873015873,0.45227876923963206
0.68,0.8888888888888888,0.4519055775155252
0.7,0.8888888888888888,0.45014622217603034
0.7,0.9047619047619048,0.4454716133310505
0.72,0.9047619047619048,0.44402359799596597
0.72,0.9206349206349206,0.4424710181151526
0.78,0.9206349206349206,0.417507996385331
0.78,0.9365079365079365,0.4113007957755305
0.84,0.9365079365079365,0.40145180016324633
0.84,0.9682539682539683,0.3816663362280471
0.88,0.9682539682539683,0.3679662550726483
0.88,0.9841269841269841,0.3549867514304094
0.92,0.9841269841269841,0.32456445797891686
0.92,1.0,0.3054053089047303
1.0,1.0,0.16534867196297276
