Model,ROC_AUC,ROC_AUC_bootstrap_mean,ROC_AUC_CI95_low,ROC_AUC_CI95_high,PR_AUC,PR_AUC_bootstrap_mean,PR_AUC_CI95_low,PR_AUC_CI95_high,Accuracy,Balanced_Accuracy,Sensitivity_Recall,Specificity,PPV_Precision,NPV,F1,Cohen_Kappa,Brier_Score,TN,FP,FN,TP,Mean_Selected_Features,Std_Selected_Features
LogisticRegression,0.736875,0.7379505746034543,0.6446692315959711,0.8219841269841269,0.8304058533483609,0.8301640046266491,0.7472179272891949,0.8967914266961325,0.6842105263157895,0.6925,0.625,0.76,0.7692307692307693,0.6129032258064516,0.6896551724137931,0.3751522533495737,0.2098311632533817,38,12,24,40,12.8,4.604345773288535
SVM_Linear,0.6906249999999999,0.6914440546468515,0.5895410413307425,0.7817213005238466,0.7845460749885733,0.7854062664909712,0.6863999992849247,0.8653079800600381,0.6140350877192983,0.6015625,0.703125,0.5,0.6428571428571429,0.5681818181818182,0.6716417910447762,0.20582647245091823,0.22399016663506577,25,25,19,45,12.8,4.604345773288535
LightGBM,0.6865625,0.6873579646855417,0.5866847623042756,0.7776096280262946,0.7383844803892479,0.7414516823891913,0.6207110841080145,0.8447752984172534,0.6228070175438597,0.6225,0.625,0.62,0.6779661016949152,0.5636363636363636,0.6504065040650406,0.2423493044822257,0.23847983166474168,31,19,24,40,12.8,4.604345773288535
KNN,0.683125,0.6843631361029754,0.5851910778316208,0.7755908305404273,0.7567511800634341,0.758547713105668,0.6401798329562517,0.854775120965428,0.631578947368421,0.62375,0.6875,0.56,0.6666666666666666,0.5833333333333334,0.676923076923077,0.24858757062146886,0.24142245589976016,28,22,20,44,12.8,4.604345773288535
SVM_RBF,0.670625,0.6719546868799922,0.5709779601461041,0.7681883818342152,0.7760414979851921,0.7770693468212069,0.6734521783429437,0.8639877163904861,0.6403508771929824,0.6359375,0.671875,0.6,0.6825396825396826,0.5882352941176471,0.6771653543307087,0.27128157156220767,0.23075320999288526,30,20,21,43,12.8,4.604345773288535
NaiveBayes,0.6565625,0.6595710920809418,0.5586909294350151,0.7605517503196931,0.7385858939331993,0.7406152089680388,0.6285480517899744,0.837392781266622,0.5877192982456141,0.565,0.75,0.38,0.6075949367088608,0.5428571428571428,0.6713286713286714,0.13441033925686585,0.3353712496950517,19,31,16,48,12.8,4.604345773288535
XGBoost,0.63375,0.634705598219853,0.5325901815575728,0.733457716718528,0.7097713184625709,0.7135042404650054,0.5918030414235199,0.818771700850309,0.5877192982456141,0.5825,0.625,0.54,0.6349206349206349,0.5294117647058824,0.6299212598425197,0.1646398503274088,0.28760721105812304,27,23,24,40,12.8,4.604345773288535
ExtraTrees,0.6331250000000002,0.6340896460155725,0.5309372179160127,0.7326294061606858,0.7290200720459297,0.7307541797040062,0.6146938405468817,0.829765081458333,0.5964912280701754,0.6012500000000001,0.5625,0.64,0.6666666666666666,0.5333333333333333,0.6101694915254238,0.1981651376146788,0.23806814973014928,32,18,28,36,12.8,4.604345773288535
GradientBoosting,0.631875,0.6331991906699945,0.5320616024187452,0.7337311610770751,0.699830576532553,0.7036725707524333,0.5764238620783511,0.8119137238875418,0.6052631578947368,0.5959375,0.671875,0.52,0.6417910447761194,0.5531914893617021,0.6564885496183206,0.19314249764076752,0.25963377065224436,26,24,21,43,12.8,4.604345773288535
RandomForest,0.59796875,0.5997100251074626,0.4964344563571288,0.7075317879877684,0.6371278656148069,0.6504435760140346,0.5209315534292303,0.7777114243423887,0.6228070175438597,0.6225,0.625,0.62,0.6779661016949152,0.5636363636363636,0.6504065040650406,0.2423493044822257,0.2665771658901108,31,19,24,40,12.8,4.604345773288535
