fold,auc,pr_auc,accuracy,bal_accuracy,f1_score,precision,recall,n_features
1,0.8819444444444445,0.8909000721500722,0.7916666666666666,0.7916666666666666,0.8148148148148148,0.7333333333333333,0.9166666666666666,6
2,0.4571428571428572,0.5310473842126824,0.5,0.4571428571428572,0.25,0.3333333333333333,0.2,4
3,0.9027777777777778,0.9340828924162257,0.8235294117647058,0.8194444444444444,0.8421052631578947,0.8,0.8888888888888888,4
4,0.7111111111111111,0.8269014808326404,0.6428571428571429,0.6555555555555556,0.6875,0.7857142857142857,0.6111111111111112,8
5,0.7857142857142858,0.9135874862765618,0.65,0.7023809523809523,0.6956521739130435,0.8888888888888888,0.5714285714285714,6
