fpr,tpr,threshold
0.0,0.0,inf
0.0,0.015873015873015872,1.0
0.0,0.031746031746031744,0.9999999999998117
0.02,0.031746031746031744,0.9999999989729673
0.02,0.06349206349206349,0.9999999734652153
0.04,0.06349206349206349,0.9999983049499632
0.04,0.1746031746031746,0.9999386814925049
0.06,0.1746031746031746,0.9999162061739929
0.06,0.19047619047619047,0.9998342634876326
0.12,0.19047619047619047,0.9997469022210264
0.12,0.2222222222222222,0.9986274760717792
0.14,0.2222222222222222,0.9984185993603982
0.14,0.23809523809523808,0.9983217043451844
0.16,0.23809523809523808,0.9980241054494287
0.16,0.36507936507936506,0.9921875686608929
0.18,0.36507936507936506,0.9921307339760428
0.18,0.4444444444444444,0.9662771455319221
0.2,0.4444444444444444,0.9657606716766358
0.2,0.47619047619047616,0.9613294199988582
0.22,0.47619047619047616,0.9612944470016409
0.22,0.5238095238095238,0.9448235721673905
0.26,0.5238095238095238,0.9375032963788366
0.26,0.5555555555555556,0.9336603331968822
0.38,0.5555555555555556,0.8680274502321843
0.38,0.5714285714285714,0.8639294433394124
0.4,0.5714285714285714,0.844668803220945
0.4,0.6031746031746031,0.8221275014454522
0.5,0.6031746031746031,0.8005397483161342
0.5,0.6190476190476191,0.797666508856195
0.54,0.6190476190476191,0.7922118609142321
0.54,0.6349206349206349,0.7861437842561159
0.56,0.6349206349206349,0.7849507509821915
0.56,0.6825396825396826,0.6922158167674176
0.64,0.6825396825396826,0.575293237983216
0.64,0.6984126984126984,0.5365109546603467
0.66,0.6984126984126984,0.513779753298481
0.66,0.7619047619047619,0.42519695103343597
0.7,0.7619047619047619,0.3922884398280374
0.7,0.7777777777777778,0.3871928390812065
0.72,0.7777777777777778,0.3156326899174366
0.72,0.8253968253968254,0.2743802275820362
0.76,0.8253968253968254,0.2520902598922319
0.76,0.8571428571428571,0.23517828008402047
0.8,0.8571428571428571,0.20720699580725946
0.8,0.873015873015873,0.2045543867253678
0.86,0.873015873015873,0.16929742906887207
0.86,0.8888888888888888,0.16731347096668442
0.92,0.8888888888888888,0.12305589617646975
0.92,0.9047619047619048,0.10160447402051294
0.96,0.9047619047619048,0.09017059625983076
0.96,0.9206349206349206,0.023403060741224443
0.98,0.9206349206349206,0.006805663790115799
0.98,0.9682539682539683,2.6012816611139787e-12
1.0,0.9682539682539683,5.123211467066353e-14
1.0,1.0,8.947742205694904e-65
