fold,n_estimators,max_depth,learning_rate,subsample,colsample_bytree,reg_alpha,reg_lambda
1,100,8,0.1581082135400477,0.6687764050930377,0.90811237436292,2.9286247167445077e-06,7.679583254810248e-05
2,300,8,0.2027848972867164,0.7438031375747609,0.7994294729378736,1.5601289828756666e-05,1.152688441528122e-05
3,100,8,0.1581082135400477,0.6687764050930377,0.90811237436292,2.9286247167445077e-06,7.679583254810248e-05
4,200,2,0.020428417353799366,0.817873951271459,0.8845575855528258,1.8040852768441058e-06,3.7416332275054926e-06
5,100,8,0.1581082135400477,0.6687764050930377,0.90811237436292,2.9286247167445077e-06,7.679583254810248e-05
6,150,6,0.1525945451171818,0.6002206772683294,0.8895432449456987,0.0009730977760977265,0.0003177862140417663
7,300,8,0.2027848972867164,0.7438031375747609,0.7994294729378736,1.5601289828756666e-05,1.152688441528122e-05
8,100,7,0.03834637542845862,0.6955783054161131,0.6874466892051919,0.0005163295949093449,5.7154667567627725e-05
9,100,3,0.011648420257877943,0.8021725718543157,0.6881262271486814,0.0021639569109615053,0.004671720805549375
10,100,8,0.1581082135400477,0.6687764050930377,0.90811237436292,2.9286247167445077e-06,7.679583254810248e-05
11,250,2,0.07665919957232309,0.8415218156171415,0.5525738427060282,2.7383629141525012e-05,2.1295336614219775e-08
12,200,2,0.020428417353799366,0.817873951271459,0.8845575855528258,1.8040852768441058e-06,3.7416332275054926e-06
13,250,2,0.045553307482188846,0.9006218997674067,0.6120045636472976,0.001519820151341646,1.1298338822798399e-07
14,250,2,0.07665919957232309,0.8415218156171415,0.5525738427060282,2.7383629141525012e-05,2.1295336614219775e-08
15,200,4,0.14995384017804372,0.7565003021907836,0.7561488100491168,1.5435089485292267e-07,1.2016754503043023e-08
