Fold,Feature_Rank_in_Fold,Feature_Name
1,1,Post1_IH_MinimumHistogramGradientGreyLevel_Intensity
1,2,ADC_GLSZM_GreyLevelVariance
1,3,ADC_GLCM_ClusterTendency
1,4,ADC_IB_MaximumIntensity
1,5,ADC_IH_IntensityHistogramMedian_Intensity
1,6,Post1_Morph_Compactness2
2,1,Post1_IH_IntensityHistogramMode_Intensity
2,2,ADC_IB_AreaUnderCurveCIVH
2,3,ADC_IB_IntensityRange
2,4,ADC_IH_IntensityHistogramSkewness_Intensity
2,5,Post1_IH_MinimumHistogramGradientGreyLevel_Intensity
2,6,Post1_Morph_Sphericity
2,7,ADC_IB_MedianIntensity
2,8,Post1_IB_IntensityRange
2,9,Post1_Morph_Compactness1
2,10,ADC_IB_IntensityBasedCoefficientOfVariation
3,1,ADC_IB_MaximumIntensity
3,2,Post1_IH_IntensityHistogramMode_Intensity
3,3,Post1_Morph_Sphericity
3,4,ADC_IB_IntensityBasedCoefficientOfVariation
3,5,Post1_GLRLM_ShortRunHighGreyLevelEmphasis
3,6,ADC_IB_IntensityInterquartileRange
3,7,ADC_IH_IntensityHistogramMedian_Intensity
3,8,Post1_Morph_Compactness1
3,9,ADC_IB_IntensityBasedMedianAbsoluteDeviation
3,10,ADC_IB_RootMeanSquareIntensity
3,11,Post1_GLCM_SumEntropy
3,12,Post1_Morph_Compactness2
3,13,ADC_IH_IntensityHistogramVariance_Intensity
3,14,Post1_GLSZM_SmallZoneHighGreyLevelEmphasis
3,15,ADC_IB_IntensityBasedMeanAbsoluteDeviation
3,16,ADC_IB_50thIntensityPercentile
3,17,Post1_Morph_Volume_cm3
3,18,Post1_GLSZM_HighGrayLevelZoneEmphasis
4,1,Post1_IH_IntensityHistogramMode_Intensity
4,2,ADC_IB_MedianIntensity
4,3,ADC_IB_RootMeanSquareIntensity
4,4,ADC_IB_MaximumIntensity
4,5,ADC_IH_IntensityHistogramVariance_Intensity
4,6,Post1_Morph_Sphericity
5,1,ADC_IB_MaximumIntensity
5,2,Post1_GLCM_Autocorrelation
5,3,Post1_Morph_Volume_cm3
5,4,ADC_IH_IntensityHistogramMaximumGreyLevel_Intensity
5,5,Post1_Morph_Sphericity
5,6,Post1_GLCM_InverseDifferenceMoment
5,7,ADC_IH_IntensityHistogramMedian_Intensity
5,8,ADC_IB_IntensityBasedMeanAbsoluteDeviation
