Model_A,Model_B,AUC_A,AUC_B,ΔAUC,Z_stat,p_value,Significant (α=0.05),Significant (α=0.01),p_value_bonferroni,Significant Bonf. (α=0.05)
LogisticRegression,RandomForest,0.6739783653846154,0.5760216346153846,0.09795673076923084,2.946369919638849,0.0032152762400695723,✓,✓,0.14468743080313076,✗
LogisticRegression,SVM_Linear,0.6739783653846154,0.6346153846153846,0.03936298076923084,2.8948780866920107,0.0037930581520127264,✓,✓,0.17068761684057268,✗
LogisticRegression,GradientBoosting,0.6739783653846154,0.5836838942307692,0.09029447115384626,2.656712601052548,0.007890667993899604,✓,✓,0.3550800597254822,✗
LogisticRegression,KNN,0.6739783653846154,0.5851862980769231,0.08879206730769229,2.3717148143006246,0.01770575103671308,✓,✗,0.7967587966520886,✗
SVM_RBF,RandomForest,0.6421274038461537,0.5760216346153846,0.06610576923076916,2.1474855106551183,0.03175464949008856,✓,✗,1.0,✗
LogisticRegression,SVM_RBF,0.6739783653846154,0.6421274038461537,0.031850961538461675,2.0488424725574395,0.04047752111182468,✓,✗,1.0,✗
LogisticRegression,ExtraTrees,0.6739783653846154,0.6129807692307692,0.060997596153846256,2.014156865087206,0.043993066812077514,✓,✗,1.0,✗
SVM_RBF,GradientBoosting,0.6421274038461537,0.5836838942307692,0.05844350961538458,1.784187714849378,0.07439316788678235,✗,✗,1.0,✗
NaiveBayes,RandomForest,0.6427283653846154,0.5760216346153846,0.06670673076923084,1.7726194436205143,0.0762917876332123,✗,✗,1.0,✗
LogisticRegression,XGBoost,0.6739783653846154,0.6072716346153846,0.06670673076923084,1.661981148290184,0.09651655441391893,✗,✗,1.0,✗
SVM_Linear,RandomForest,0.6346153846153846,0.5760216346153846,0.05859375,1.643656595015725,0.10024715649008077,✗,✗,1.0,✗
SVM_RBF,KNN,0.6421274038461537,0.5851862980769231,0.056941105769230616,1.572286779947765,0.11588405756861603,✗,✗,1.0,✗
SVM_Linear,GradientBoosting,0.6346153846153846,0.5836838942307692,0.05093149038461542,1.437216738178624,0.1506564183898169,✗,✗,1.0,✗
NaiveBayes,GradientBoosting,0.6427283653846154,0.5836838942307692,0.059044471153846256,1.4047782811542882,0.16008721937865045,✗,✗,1.0,✗
SVM_Linear,KNN,0.6346153846153846,0.5851862980769231,0.04942908653846145,1.3601003065595931,0.17379818409046688,✗,✗,1.0,✗
NaiveBayes,KNN,0.6427283653846154,0.5851862980769231,0.05754206730769229,1.272225299818696,0.20329308095939536,✗,✗,1.0,✗
LogisticRegression,LightGBM,0.6739783653846154,0.6204927884615385,0.05348557692307687,1.196092367813792,0.23166051566242274,✗,✗,1.0,✗
LightGBM,RandomForest,0.6204927884615385,0.5760216346153846,0.044471153846153966,1.1430478821996284,0.2530187113291765,✗,✗,1.0,✗
ExtraTrees,RandomForest,0.6129807692307692,0.5760216346153846,0.03695913461538458,1.1218656075265896,0.26191958573548546,✗,✗,1.0,✗
