Model,AUC,PR_AUC,Accuracy,Balanced_Accuracy,Precision,Recall,F1,Specificity,n_feats
LogisticRegression,0.683 ± 0.163,0.755 ± 0.111,0.640 ± 0.090,0.637 ± 0.105,0.654 ± 0.207,0.692 ± 0.123,0.649 ± 0.132,0.581 ± 0.260,10.400 ± 4.980
SVM_Linear,0.655 ± 0.168,0.732 ± 0.135,0.634 ± 0.081,0.648 ± 0.110,0.650 ± 0.188,0.782 ± 0.190,0.671 ± 0.092,0.514 ± 0.293,10.400 ± 4.980
SVM_RBF,0.644 ± 0.165,0.711 ± 0.132,0.601 ± 0.058,0.593 ± 0.075,0.603 ± 0.164,0.680 ± 0.124,0.621 ± 0.113,0.506 ± 0.212,10.400 ± 4.980
NaiveBayes,0.619 ± 0.134,0.683 ± 0.119,0.604 ± 0.067,0.569 ± 0.062,0.569 ± 0.111,0.775 ± 0.195,0.648 ± 0.124,0.364 ± 0.229,10.400 ± 4.980
LightGBM,0.602 ± 0.134,0.695 ± 0.122,0.576 ± 0.113,0.573 ± 0.084,0.574 ± 0.179,0.649 ± 0.212,0.586 ± 0.171,0.497 ± 0.142,10.400 ± 4.980
KNN,0.599 ± 0.140,0.673 ± 0.127,0.592 ± 0.086,0.588 ± 0.096,0.610 ± 0.190,0.633 ± 0.114,0.601 ± 0.114,0.542 ± 0.204,10.400 ± 4.980
XGBoost,0.591 ± 0.116,0.710 ± 0.059,0.562 ± 0.095,0.565 ± 0.091,0.582 ± 0.186,0.602 ± 0.134,0.569 ± 0.137,0.529 ± 0.192,10.400 ± 4.980
GradientBoosting,0.584 ± 0.183,0.692 ± 0.126,0.557 ± 0.097,0.549 ± 0.096,0.564 ± 0.176,0.657 ± 0.142,0.589 ± 0.138,0.441 ± 0.190,10.400 ± 4.980
ExtraTrees,0.565 ± 0.135,0.677 ± 0.139,0.599 ± 0.055,0.568 ± 0.088,0.600 ± 0.219,0.590 ± 0.174,0.583 ± 0.169,0.545 ± 0.263,10.400 ± 4.980
RandomForest,0.556 ± 0.130,0.662 ± 0.114,0.569 ± 0.101,0.548 ± 0.125,0.587 ± 0.238,0.558 ± 0.183,0.554 ± 0.188,0.537 ± 0.261,10.400 ± 4.980
