,LogisticRegression,SVM_Linear,SVM_RBF,NaiveBayes,LightGBM,KNN,XGBoost,GradientBoosting,ExtraTrees,RandomForest
LogisticRegression,1.0,0.0037930581520127264,0.04047752111182468,0.27129835685301085,0.23166051566242274,0.01770575103671308,0.09651655441391893,0.007890667993899604,0.043993066812077514,0.0032152762400695723
SVM_Linear,0.0037930581520127264,1.0,0.6336965648550588,0.8070415727320862,0.778645190667585,0.17379818409046688,0.5307718722905994,0.1506564183898169,0.4579194402878801,0.10024715649008077
SVM_RBF,0.04047752111182468,0.6336965648550588,1.0,0.982493412127463,0.6434085044768274,0.11588405756861603,0.4041773267101174,0.07439316788678235,0.31357420055471374,0.03175464949008856
NaiveBayes,0.27129835685301085,0.8070415727320862,0.982493412127463,1.0,0.6471304600049448,0.20329308095939536,0.41223248678917723,0.16008721937865045,0.4391248022381611,0.0762917876332123
LightGBM,0.23166051566242274,0.778645190667585,0.6434085044768274,0.6471304600049448,1.0,0.5139883122051851,0.7020807393272239,0.37611454521728627,0.8861791368653179,0.2530187113291765
KNN,0.01770575103671308,0.17379818409046688,0.11588405756861603,0.20329308095939536,0.5139883122051851,1.0,0.6462026509833515,0.9726384389405446,0.4775641250144451,0.8184514829772841
XGBoost,0.09651655441391893,0.5307718722905994,0.4041773267101174,0.41223248678917723,0.7020807393272239,0.6462026509833515,1.0,0.5246317333025838,0.8965807562930017,0.354536061458669
GradientBoosting,0.007890667993899604,0.1506564183898169,0.07439316788678235,0.16008721937865045,0.37611454521728627,0.9726384389405446,0.5246317333025838,1.0,0.42759389009759674,0.8070968584996907
ExtraTrees,0.043993066812077514,0.4579194402878801,0.31357420055471374,0.4391248022381611,0.8861791368653179,0.4775641250144451,0.8965807562930017,0.42759389009759674,1.0,0.26191958573548546
RandomForest,0.0032152762400695723,0.10024715649008077,0.03175464949008856,0.0762917876332123,0.2530187113291765,0.8184514829772841,0.354536061458669,0.8070968584996907,0.26191958573548546,1.0
