,LogisticRegression,SVM_Linear,SVM_RBF,NaiveBayes,LightGBM,KNN,XGBoost,GradientBoosting,ExtraTrees,RandomForest
LogisticRegression,0.0,2.8948780866920107,2.0488424725574395,1.1000774986035888,1.196092367813792,2.3717148143006246,1.661981148290184,2.656712601052548,2.014156865087206,2.946369919638849
SVM_Linear,-2.8948780866920107,0.0,-0.4765303860406601,-0.24424436015888706,0.2810850197694944,1.3601003065595931,0.6268281755313913,1.437216738178624,0.7422771383328334,1.643656595015725
SVM_RBF,-2.0488424725574395,0.4765303860406601,0.0,-0.021943014861585963,0.46293842422781356,1.572286779947765,0.8341839630205999,1.784187714849378,1.0077506128803764,2.1474855106551183
NaiveBayes,-1.1000774986035888,0.24424436015888706,0.021943014861585963,0.0,0.45775222887617306,1.272225299818696,0.8199712678328372,1.4047782811542882,0.7736719660264876,1.7726194436205143
LightGBM,-1.196092367813792,-0.2810850197694944,-0.46293842422781356,-0.45775222887617306,0.0,0.652640123491385,0.38251320063075633,0.8850780349614721,0.14314060511796142,1.1430478821996284
KNN,-2.3717148143006246,-1.3601003065595931,-1.572286779947765,-1.272225299818696,-0.652640123491385,0.0,-0.45904388657871525,0.03429935533017414,-0.7102257986542543,0.2295371072559654
XGBoost,-1.661981148290184,-0.6268281755313913,-0.8341839630205999,-0.8199712678328372,-0.38251320063075633,0.45904388657871525,0.0,0.6362220038416683,-0.12998188812769623,0.9258266763437569
GradientBoosting,-2.656712601052548,-1.437216738178624,-1.784187714849378,-1.4047782811542882,-0.8850780349614721,-0.03429935533017414,-0.6362220038416683,0.0,-0.7933157374131043,0.24417297244375355
ExtraTrees,-2.014156865087206,-0.7422771383328334,-1.0077506128803764,-0.7736719660264876,-0.14314060511796142,0.7102257986542543,0.12998188812769623,0.7933157374131043,0.0,1.1218656075265896
RandomForest,-2.946369919638849,-1.643656595015725,-2.1474855106551183,-1.7726194436205143,-1.1430478821996284,-0.2295371072559654,-0.9258266763437569,-0.24417297244375355,-1.1218656075265896,0.0
