Competitor,Competitor_Mean_AUC,ΔMean_AUC,p_value,p_Bonferroni,Significant_uncorrected,Significant_Bonferroni
RandomForest,0.5564,+0.1265,3.22e-03,1.45e-01,✓,✗
ExtraTrees,0.5655,+0.1174,4.40e-02,1.00e+00,✓,✗
GradientBoosting,0.5843,+0.0986,7.89e-03,3.55e-01,✓,✗
XGBoost,0.5913,+0.0916,9.65e-02,1.00e+00,✗,✗
KNN,0.5987,+0.0842,1.77e-02,7.97e-01,✓,✗
LightGBM,0.6019,+0.0810,2.32e-01,1.00e+00,✗,✗
NaiveBayes,0.6192,+0.0637,2.71e-01,1.00e+00,✗,✗
SVM_RBF,0.6439,+0.0390,4.05e-02,1.00e+00,✓,✗
SVM_Linear,0.6547,+0.0282,3.79e-03,1.71e-01,✓,✗
