Model,FS_METHOD,N_Outer_Folds,Mean_Selected_Features,Std_Selected_Features,Min_Selected_Features,Max_Selected_Features,Selected_Features_Per_Fold
LogisticRegression,current_4stage,5,6.0,0.0,6,6,"[np.int64(6), np.int64(6), np.int64(6), np.int64(6), np.int64(6)]"
SVM_RBF,current_4stage,5,6.0,0.0,6,6,"[np.int64(6), np.int64(6), np.int64(6), np.int64(6), np.int64(6)]"
SVM_Linear,current_4stage,5,6.0,0.0,6,6,"[np.int64(6), np.int64(6), np.int64(6), np.int64(6), np.int64(6)]"
RandomForest,current_4stage,5,6.0,0.0,6,6,"[np.int64(6), np.int64(6), np.int64(6), np.int64(6), np.int64(6)]"
GradientBoosting,current_4stage,5,6.0,0.0,6,6,"[np.int64(6), np.int64(6), np.int64(6), np.int64(6), np.int64(6)]"
ExtraTrees,current_4stage,5,6.0,0.0,6,6,"[np.int64(6), np.int64(6), np.int64(6), np.int64(6), np.int64(6)]"
KNN,current_4stage,5,6.0,0.0,6,6,"[np.int64(6), np.int64(6), np.int64(6), np.int64(6), np.int64(6)]"
NaiveBayes,current_4stage,5,6.0,0.0,6,6,"[np.int64(6), np.int64(6), np.int64(6), np.int64(6), np.int64(6)]"
XGBoost,current_4stage,5,6.0,0.0,6,6,"[np.int64(6), np.int64(6), np.int64(6), np.int64(6), np.int64(6)]"
LightGBM,current_4stage,5,6.0,0.0,6,6,"[np.int64(6), np.int64(6), np.int64(6), np.int64(6), np.int64(6)]"
