Model,AUC,PR_AUC,Accuracy,Balanced_Accuracy,Precision,Recall,F1,Specificity,n_feats
ExtraTrees,0.562 ± 0.127,0.653 ± 0.099,0.541 ± 0.086,0.540 ± 0.085,0.607 ± 0.110,0.552 ± 0.220,0.552 ± 0.131,0.528 ± 0.245,6.900 ± 1.809
LogisticRegression,0.547 ± 0.105,0.633 ± 0.087,0.514 ± 0.107,0.512 ± 0.106,0.564 ± 0.116,0.529 ± 0.176,0.537 ± 0.131,0.494 ± 0.176,6.900 ± 1.809
XGBoost,0.543 ± 0.093,0.607 ± 0.077,0.563 ± 0.083,0.547 ± 0.091,0.611 ± 0.092,0.683 ± 0.265,0.613 ± 0.125,0.412 ± 0.335,6.900 ± 1.809
SVM_Linear,0.541 ± 0.136,0.623 ± 0.101,0.517 ± 0.089,0.524 ± 0.075,0.494 ± 0.270,0.458 ± 0.350,0.429 ± 0.279,0.591 ± 0.324,6.900 ± 1.809
