k,mean_score,std_score,fold_scores,metric,tuning_model
16,0.7350327690884967,0.15677001904296492,"[0.5133689839572192, 0.8421052631578947, 0.849624060150376]",auc,LogisticRegression
18,0.732766717286841,0.1515690609070125,"[0.5187165775401069, 0.8299595141700403, 0.849624060150376]",auc,LogisticRegression
14,0.7112325239260224,0.18531390411861423,"[0.4491978609625668, 0.8461538461538461, 0.8383458646616542]",auc,LogisticRegression
12,0.6997599923296517,0.17098199708606954,"[0.4598930481283422, 0.8461538461538461, 0.7932330827067668]",auc,LogisticRegression
10,0.6421143356127875,0.12250592964504753,"[0.47058823529411764, 0.748987854251012, 0.706766917293233]",auc,LogisticRegression
8,0.6293458863118305,0.1324849395243319,"[0.4438502673796791, 0.7449392712550607, 0.6992481203007519]",auc,LogisticRegression
6,0.54403645889714,0.11853596003034438,"[0.44385026737967914, 0.4777327935222672, 0.7105263157894737]",auc,LogisticRegression
4,0.5243275816031234,0.1321658945341012,"[0.41711229946524064, 0.44534412955465585, 0.7105263157894737]",auc,LogisticRegression
