Model,Baseline_ROC_AUC,Hier_ROC_AUC,Delta_ROC_AUC,Baseline_PR_AUC,Hier_PR_AUC,Delta_PR_AUC,Baseline_Sensitivity,Hier_Sensitivity,Delta_Sensitivity,Baseline_Specificity,Hier_Specificity,Delta_Specificity,Baseline_Kappa,Hier_Kappa,Delta_Kappa,Baseline_Brier,Hier_Brier,Delta_Brier,Baseline_Mean_Selected_Features,Hier_Mean_Selected_Features
LogisticRegression,0.6625553447185326,0.6625553447185326,0.0,0.7356424522979343,0.7356424522979343,0.0,0.6612903225806451,0.6612903225806451,0.0,0.5098039215686274,0.5098039215686274,0.0,0.17229299363057327,0.17229299363057327,0.0,0.23824564700819215,0.23824564700819215,0.0,20.0,20.0
SVM_RBF,0.5895003162555343,0.5895003162555343,0.0,0.6789524793650576,0.6789524793650576,0.0,0.6612903225806451,0.6612903225806451,0.0,0.43137254901960786,0.43137254901960786,0.0,0.09397049390635026,0.09397049390635026,0.0,0.26282215431245076,0.26282215431245076,0.0,20.0,20.0
SVM_Linear,0.6157495256166984,0.6157495256166984,0.0,0.7137287203662419,0.7137287203662419,0.0,0.6774193548387096,0.6774193548387096,0.0,0.47058823529411764,0.47058823529411764,0.0,0.14983191932127427,0.14983191932127427,0.0,0.25766360526518284,0.25766360526518284,0.0,20.0,20.0
RandomForest,0.6565464895635674,0.6565464895635674,0.0,0.7481233412105013,0.7481233412105013,0.0,0.6290322580645161,0.6290322580645161,0.0,0.5490196078431373,0.5490196078431373,0.0,0.17805186590765332,0.17805186590765332,0.0,0.23545870141479738,0.23545870141479738,0.0,20.0,20.0
GradientBoosting,0.618595825426945,0.618595825426945,0.0,0.6799967221182588,0.6799967221182588,0.0,0.5967741935483871,0.5967741935483871,0.0,0.5098039215686274,0.5098039215686274,0.0,0.10657811511701454,0.10657811511701454,0.0,0.24924524479283702,0.24924524479283702,0.0,20.0,20.0
ExtraTrees,0.622707147375079,0.622707147375079,0.0,0.7310624246704291,0.7310624246704291,0.0,0.6129032258064516,0.6129032258064516,0.0,0.5686274509803921,0.5686274509803921,0.0,0.18090135518436812,0.18090135518436812,0.0,0.24596972419175722,0.24596972419175722,0.0,20.0,20.0
KNN,0.5891840607210626,0.5891840607210626,0.0,0.6696528516941554,0.6696528516941554,0.0,0.5806451612903226,0.5806451612903226,0.0,0.5490196078431373,0.5490196078431373,0.0,0.1289916627339941,0.1289916627339941,0.0,0.261196201814465,0.261196201814465,0.0,20.0,20.0
NaiveBayes,0.5942441492726123,0.5942441492726123,0.0,0.6844049365628804,0.6844049365628804,0.0,0.7096774193548387,0.7096774193548387,0.0,0.35294117647058826,0.35294117647058826,0.0,0.06429615197272287,0.06429615197272287,0.0,0.42037595194916894,0.42037595194916894,0.0,20.0,20.0
XGBoost,0.7039848197343453,0.7039848197343453,0.0,0.7558279041999667,0.7558279041999667,0.0,0.6451612903225806,0.6451612903225806,0.0,0.5882352941176471,0.5882352941176471,0.0,0.23299131807419105,0.23299131807419105,0.0,0.24896247171240823,0.24896247171240823,0.0,20.0,20.0
LightGBM,0.7182163187855787,0.7182163187855787,0.0,0.76750808784484,0.76750808784484,0.0,0.6774193548387096,0.6774193548387096,0.0,0.6078431372549019,0.6078431372549019,0.0,0.28526249209361165,0.28526249209361165,0.0,0.22508893239368613,0.22508893239368613,0.0,20.0,20.0
