fold,n_estimators,max_depth,learning_rate,subsample
1,25,2,0.07786135445417827,0.7627606366351568
2,25,1,0.016584313263890035,0.9935871354122109
3,25,2,0.07786135445417827,0.7627606366351568
4,100,1,0.06549750379683224,0.7822221241125097
5,75,1,0.026577711982616582,0.9534328396959711
