precision,recall,threshold
0.5614035087719298,1.0,0.0
0.5625,0.984375,0.1
0.5688073394495413,0.96875,0.2
0.5769230769230769,0.9375,0.21428571428571427
0.5784313725490197,0.921875,0.26666666666666666
0.5841584158415841,0.921875,0.2857142857142857
0.5833333333333334,0.875,0.3
0.5666666666666667,0.796875,0.3333333333333333
0.5681818181818182,0.78125,0.35714285714285715
0.5952380952380952,0.78125,0.4
0.5853658536585366,0.75,0.42857142857142855
0.6216216216216216,0.71875,0.4666666666666667
0.6231884057971014,0.671875,0.5
0.6612903225806451,0.640625,0.5333333333333333
0.6440677966101694,0.59375,0.5714285714285714
0.6730769230769231,0.546875,0.6
0.6818181818181818,0.46875,0.6428571428571429
0.7714285714285715,0.421875,0.6666666666666666
0.75,0.375,0.7
0.7333333333333333,0.34375,0.7142857142857143
0.8235294117647058,0.21875,0.7333333333333333
0.8571428571428571,0.1875,0.7857142857142857
0.9,0.140625,0.8
0.8888888888888888,0.125,0.8571428571428571
1.0,0.046875,0.9285714285714286
1.0,0.015625,1.0
1.0,0.0,
