Model,AUC,PR_AUC,Accuracy,Balanced_Accuracy,Precision,Recall,F1,Specificity,n_feats
LogisticRegression,0.578 ± 0.094,0.653 ± 0.106,0.507 ± 0.070,0.525 ± 0.054,0.444 ± 0.289,0.462 ± 0.291,0.433 ± 0.261,0.589 ± 0.247,8.000 ± 0.000
LightGBM,0.536 ± 0.119,0.624 ± 0.136,0.531 ± 0.051,0.527 ± 0.034,0.559 ± 0.131,0.609 ± 0.147,0.564 ± 0.096,0.444 ± 0.185,8.000 ± 0.000
GradientBoosting,0.522 ± 0.093,0.635 ± 0.093,0.530 ± 0.022,0.539 ± 0.037,0.563 ± 0.126,0.571 ± 0.140,0.548 ± 0.079,0.507 ± 0.106,8.000 ± 0.000
RandomForest,0.508 ± 0.103,0.606 ± 0.095,0.483 ± 0.047,0.468 ± 0.082,0.505 ± 0.087,0.599 ± 0.196,0.529 ± 0.116,0.338 ± 0.221,8.000 ± 0.000
SVM_RBF,0.506 ± 0.118,0.635 ± 0.146,0.535 ± 0.137,0.509 ± 0.045,0.243 ± 0.341,0.239 ± 0.367,0.238 ± 0.348,0.778 ± 0.314,8.000 ± 0.000
NaiveBayes,0.498 ± 0.142,0.590 ± 0.113,0.476 ± 0.045,0.483 ± 0.075,0.500 ± 0.111,0.580 ± 0.316,0.498 ± 0.163,0.387 ± 0.244,8.000 ± 0.000
XGBoost,0.493 ± 0.127,0.608 ± 0.205,0.481 ± 0.161,0.488 ± 0.168,0.543 ± 0.271,0.390 ± 0.135,0.444 ± 0.192,0.587 ± 0.218,8.000 ± 0.000
SVM_Linear,0.488 ± 0.091,0.571 ± 0.111,0.475 ± 0.050,0.490 ± 0.078,0.513 ± 0.108,0.587 ± 0.263,0.515 ± 0.102,0.393 ± 0.172,8.000 ± 0.000
ExtraTrees,0.468 ± 0.088,0.591 ± 0.109,0.473 ± 0.109,0.452 ± 0.107,0.494 ± 0.073,0.463 ± 0.137,0.471 ± 0.090,0.440 ± 0.228,8.000 ± 0.000
KNN,0.347 ± 0.181,0.503 ± 0.116,0.448 ± 0.159,0.453 ± 0.104,0.486 ± 0.060,0.255 ± 0.180,0.302 ± 0.137,0.651 ± 0.332,8.000 ± 0.000
