,SVM_RBF,KNN,RandomForest,LogisticRegression,SVM_Linear,ExtraTrees,XGBoost,GradientBoosting,NaiveBayes,LightGBM
SVM_RBF,0.0,-0.18104192659843868,-0.03673452683042557,0.5404913534948049,2.1592240485654908,1.2132988122713115,2.050679816250394,2.7210474610792157,3.078763958122256,3.044647126002305
KNN,0.18104192659843868,0.0,0.08301759586744417,0.4512252185803062,1.6857384748819637,1.2478661182577888,2.065668626358778,2.7294929105513255,2.96230079029204,2.9492862171195027
RandomForest,0.03673452683042557,-0.08301759586744417,0.0,0.2575785073778659,1.108633737174068,0.9962661440012918,2.7628133593257047,2.8197050092255656,2.5025451418133873,3.204410853713023
LogisticRegression,-0.5404913534948049,-0.4512252185803062,-0.2575785073778659,0.0,1.9041296423907064,0.8438128089090765,1.8151375463050226,2.549452808757749,3.0543743605686227,2.7081888214417322
SVM_Linear,-2.1592240485654908,-1.6857384748819637,-1.108633737174068,-1.9041296423907064,0.0,-0.3599034592076002,1.0870025124486298,1.836659920414962,2.3148998323260597,1.968239312109052
ExtraTrees,-1.2132988122713115,-1.2478661182577888,-0.9962661440012918,-0.8438128089090765,0.3599034592076002,0.0,1.4519919415247453,2.3015968041031654,2.291006892256099,2.2167115529469865
XGBoost,-2.050679816250394,-2.065668626358778,-2.7628133593257047,-1.8151375463050226,-1.0870025124486298,-1.4519919415247453,0.0,0.8534298271283365,1.0934903404174667,1.0013305311978564
GradientBoosting,-2.7210474610792157,-2.7294929105513255,-2.8197050092255656,-2.549452808757749,-1.836659920414962,-2.3015968041031654,-0.8534298271283365,0.0,0.6920214180466053,0.31552146139310766
NaiveBayes,-3.078763958122256,-2.96230079029204,-2.5025451418133873,-3.0543743605686227,-2.3148998323260597,-2.291006892256099,-1.0934903404174667,-0.6920214180466053,0.0,-0.42893098698135185
LightGBM,-3.044647126002305,-2.9492862171195027,-3.204410853713023,-2.7081888214417322,-1.968239312109052,-2.2167115529469865,-1.0013305311978564,-0.31552146139310766,0.42893098698135185,0.0
