Model,AUC,PR_AUC,Accuracy,Balanced_Accuracy,Precision,Recall,F1,Specificity,n_feats
SVM_RBF,0.793 ± 0.052,0.836 ± 0.068,0.711 ± 0.132,0.732 ± 0.088,0.797 ± 0.120,0.721 ± 0.270,0.716 ± 0.148,0.742 ± 0.212,11.600 ± 4.561
KNN,0.785 ± 0.073,0.831 ± 0.096,0.687 ± 0.122,0.694 ± 0.086,0.703 ± 0.152,0.790 ± 0.222,0.720 ± 0.127,0.597 ± 0.171,11.600 ± 4.561
RandomForest,0.768 ± 0.034,0.803 ± 0.073,0.698 ± 0.113,0.703 ± 0.084,0.714 ± 0.107,0.761 ± 0.210,0.720 ± 0.122,0.645 ± 0.049,11.600 ± 4.561
LogisticRegression,0.766 ± 0.073,0.818 ± 0.086,0.720 ± 0.152,0.742 ± 0.112,0.833 ± 0.125,0.708 ± 0.267,0.725 ± 0.154,0.776 ± 0.234,11.600 ± 4.561
SVM_Linear,0.761 ± 0.058,0.816 ± 0.081,0.674 ± 0.128,0.698 ± 0.094,0.742 ± 0.165,0.721 ± 0.270,0.688 ± 0.152,0.676 ± 0.204,11.600 ± 4.561
ExtraTrees,0.752 ± 0.055,0.784 ± 0.080,0.708 ± 0.106,0.728 ± 0.059,0.801 ± 0.117,0.671 ± 0.227,0.701 ± 0.127,0.786 ± 0.157,11.600 ± 4.561
XGBoost,0.726 ± 0.063,0.776 ± 0.067,0.627 ± 0.089,0.632 ± 0.052,0.656 ± 0.117,0.715 ± 0.203,0.663 ± 0.107,0.549 ± 0.129,11.600 ± 4.561
GradientBoosting,0.703 ± 0.117,0.766 ± 0.081,0.539 ± 0.087,0.555 ± 0.088,0.603 ± 0.107,0.676 ± 0.240,0.603 ± 0.070,0.435 ± 0.273,11.600 ± 4.561
NaiveBayes,0.699 ± 0.156,0.769 ± 0.104,0.566 ± 0.158,0.541 ± 0.145,0.578 ± 0.175,0.867 ± 0.188,0.680 ± 0.140,0.214 ± 0.263,11.600 ± 4.561
LightGBM,0.644 ± 0.066,0.706 ± 0.089,0.601 ± 0.075,0.607 ± 0.069,0.656 ± 0.094,0.657 ± 0.158,0.637 ± 0.050,0.557 ± 0.182,11.600 ± 4.561
