,SVM_RBF,KNN,RandomForest,LogisticRegression,SVM_Linear,ExtraTrees,XGBoost,GradientBoosting,NaiveBayes,LightGBM
SVM_RBF,1.0,0.8563346670599801,0.9706966787830668,0.5888582223352516,0.030832789210769533,0.22501559685603223,0.0402981378067453,0.006507541767419709,0.0020786130029202352,0.002329534581564653
KNN,0.8563346670599801,1.0,0.9338375484301765,0.6518272356297972,0.09184618274358053,0.21208009036762998,0.03885977963139706,0.006343181296966949,0.003053493272813281,0.0031850884869416354
RandomForest,0.9706966787830668,0.9338375484301765,1.0,0.7967322187504265,0.2675882179129162,0.3191208490161451,0.005730552462652456,0.004806781541807097,0.012330389985051517,0.0013533919474390012
LogisticRegression,0.5888582223352516,0.6518272356297972,0.7967322187504265,1.0,0.05689330202940599,0.3987740166983629,0.06950277445433845,0.010789211203510184,0.002255304580286635,0.006765152049734079
SVM_Linear,0.030832789210769533,0.09184618274358053,0.2675882179129162,0.05689330202940599,1.0,0.7189193300707404,0.27703569933819805,0.06626011552855594,0.02061841454977924,0.04904050899209752
ExtraTrees,0.22501559685603223,0.21208009036762998,0.3191208490161451,0.3987740166983629,0.7189193300707404,1.0,0.14650384593737303,0.021357920542273413,0.021963015039308056,0.026642808811613412
XGBoost,0.0402981378067453,0.03885977963139706,0.005730552462652456,0.06950277445433845,0.27703569933819805,0.14650384593737303,1.0,0.39342098668374414,0.27417856785333505,0.3166670370308907
GradientBoosting,0.006507541767419709,0.006343181296966949,0.004806781541807097,0.010789211203510184,0.06626011552855594,0.021357920542273413,0.39342098668374414,1.0,0.48892387866767617,0.7523657587900208
NaiveBayes,0.0020786130029202352,0.003053493272813281,0.012330389985051517,0.002255304580286635,0.02061841454977924,0.021963015039308056,0.27417856785333505,0.48892387866767617,1.0,0.6679734489464317
LightGBM,0.002329534581564653,0.0031850884869416354,0.0013533919474390012,0.006765152049734079,0.04904050899209752,0.026642808811613412,0.3166670370308907,0.7523657587900208,0.6679734489464317,1.0
