fold,n_estimators,max_depth,learning_rate,num_leaves,subsample,colsample_bytree,reg_alpha,reg_lambda
1,150,6,0.025998261502279192,47,0.8352762953277956,0.9957620318415045,6.1911398894485e-05,1.8798829924749643e-08
2,150,8,0.2802225097129529,45,0.8731111460923064,0.7097807497567434,1.3179159167481065e-08,0.0002012403072874095
3,100,4,0.010195361167134594,22,0.9182650033893149,0.5076274856231695,0.0024523948325711462,0.0027179461717410165
4,250,6,0.07235215470507687,9,0.6840106310691442,0.7723424390893238,0.0835673325773711,1.8040852768441058e-06
5,150,7,0.2802225097129529,47,0.8528740920522522,0.8074789878341417,3.046641810688801e-05,0.0002012403072874095
6,250,2,0.24710243638878707,27,0.8026058588422645,0.7619471352199674,6.603580774622769e-08,4.662485072861171e-06
7,100,7,0.2755515226447693,58,0.7438031375747609,0.7994294729378736,1.5601289828756666e-05,1.152688441528122e-05
8,250,3,0.16056945191878477,23,0.7726816734652486,0.9700149098111873,0.2284780107892971,1.0592721426061415e-05
9,100,3,0.011648420257877943,36,0.7505009817189452,0.7964027004879433,0.004671720805549375,1.9204492282294416e-07
10,300,8,0.07756489247449486,30,0.74527520164374,0.6021726384343221,3.0966031594822784e-06,1.6550950157972402e-06
11,150,8,0.2802225097129529,45,0.8731111460923064,0.7097807497567434,1.3179159167481065e-08,0.0002012403072874095
12,100,3,0.011648420257877943,36,0.7505009817189452,0.7964027004879433,0.004671720805549375,1.9204492282294416e-07
13,150,2,0.1551447430963504,25,0.9502175287592126,0.9047524552591155,4.3449406361264625e-08,0.04322882389827387
14,50,6,0.20729584798369027,19,0.67413128782003,0.5541884452321275,9.490245203532942e-07,6.421168438428034
15,250,3,0.16056945191878477,23,0.7726816734652486,0.9700149098111873,0.2284780107892971,1.0592721426061415e-05
