,SVM_RBF,SVM_Linear,ExtraTrees,LogisticRegression,LightGBM,RandomForest,KNN,XGBoost,GradientBoosting,NaiveBayes
SVM_RBF,1.0,0.9144677485315971,0.46516249334257886,0.8788730251137582,0.8680338217269559,0.2539327260031514,0.10504726550782602,0.6621481711251849,0.17901309368458207,5.323088456905055e-05
SVM_Linear,0.9144677485315971,1.0,0.5105921172006613,0.7259688744134289,0.8468873144768292,0.2956010742807792,0.11006260732704877,0.6596538308320938,0.20659064826116003,0.00020093413980546435
ExtraTrees,0.46516249334257886,0.5105921172006613,1.0,0.5865648634637295,0.7862193066277162,0.4839800068432013,0.28952507593765753,0.9635791895166088,0.29198563062738825,0.0013272467447250499
LogisticRegression,0.8788730251137582,0.7259688744134289,0.5865648634637295,1.0,0.9169364130776566,0.33586613932500153,0.14104613742644345,0.7290080420111372,0.23910575625842756,0.00011636661986285746
LightGBM,0.8680338217269559,0.8468873144768292,0.7862193066277162,0.9169364130776566,1.0,0.43597633673668335,0.33504954700533984,0.7625502235575736,0.2409310554615648,0.015607783463403432
RandomForest,0.2539327260031514,0.2956010742807792,0.4839800068432013,0.33586613932500153,0.43597633673668335,1.0,0.6865333553783926,0.5193303505061765,0.6075338463403113,0.021632958942721638
KNN,0.10504726550782602,0.11006260732704877,0.28952507593765753,0.14104613742644345,0.33504954700533984,0.6865333553783926,1.0,0.3573949167335997,0.9784538498814273,0.054499187997480776
XGBoost,0.6621481711251849,0.6596538308320938,0.9635791895166088,0.7290080420111372,0.7625502235575736,0.5193303505061765,0.3573949167335997,1.0,0.2896393090791515,0.013166777363956026
GradientBoosting,0.17901309368458207,0.20659064826116003,0.29198563062738825,0.23910575625842756,0.2409310554615648,0.6075338463403113,0.9784538498814273,0.2896393090791515,1.0,0.07938475170949735
NaiveBayes,5.323088456905055e-05,0.00020093413980546435,0.0013272467447250499,0.00011636661986285746,0.015607783463403432,0.021632958942721638,0.054499187997480776,0.013166777363956026,0.07938475170949735,1.0
