,SVM_RBF,SVM_Linear,ExtraTrees,LogisticRegression,LightGBM,RandomForest,KNN,XGBoost,GradientBoosting,NaiveBayes
SVM_RBF,0.0,-0.10740492373127723,0.730372548763525,0.15239801180335916,0.1661564615705169,1.1408490952673382,1.6208618721657726,0.43694922572841455,1.3437999252754222,4.040968607047631
SVM_Linear,0.10740492373127723,0.0,0.6579159870191206,0.3504928243316451,0.19309149352915062,1.0459132760427274,1.5979118011575442,0.4403911538045682,1.262995913677726,3.7178391440243987
ExtraTrees,-0.730372548763525,-0.6579159870191206,0.0,-0.5438206990550136,-0.27122328302840615,0.6999156122070884,1.0591640464208034,-0.045662579998081605,1.053775679767972,3.2100223011610947
LogisticRegression,-0.15239801180335916,-0.3504928243316451,0.5438206990550136,0.0,0.10429352892733805,0.9623652970536348,1.471906465466103,0.34644535848841324,1.1772248910744247,3.853656929028279
LightGBM,-0.1661564615705169,-0.19309149352915062,0.27122328302840615,-0.10429352892733805,0.0,0.7790057345082183,0.9639927773430471,0.3021335946911448,1.1726627982896058,2.4179602091708112
RandomForest,-1.1408490952673382,-1.0459132760427274,-0.6999156122070884,-0.9623652970536348,-0.7790057345082183,0.0,0.4035640103664577,-0.6443779946358953,0.5135969015094475,2.2967513386390954
KNN,-1.6208618721657726,-1.5979118011575442,-1.0591640464208034,-1.471906465466103,-0.9639927773430471,-0.4035640103664577,0.0,-0.9203403744175966,-0.027007377378936923,1.9228476329327477
XGBoost,-0.43694922572841455,-0.4403911538045682,0.045662579998081605,-0.34644535848841324,-0.3021335946911448,0.6443779946358953,0.9203403744175966,0.0,1.0589132066882574,2.479226205278775
GradientBoosting,-1.3437999252754222,-1.262995913677726,-1.053775679767972,-1.1772248910744247,-1.1726627982896058,-0.5135969015094475,0.027007377378936923,-1.0589132066882574,0.0,1.7542670922781405
NaiveBayes,-4.040968607047631,-3.7178391440243987,-3.2100223011610947,-3.853656929028279,-2.4179602091708112,-2.2967513386390954,-1.9228476329327477,-2.479226205278775,-1.7542670922781405,0.0
