Model,AUC,PR_AUC,Accuracy,Balanced_Accuracy,Precision,Recall,F1,Specificity,n_feats
SVM_RBF,0.758 ± 0.165,0.846 ± 0.088,0.684 ± 0.071,0.701 ± 0.091,0.718 ± 0.113,0.730 ± 0.200,0.700 ± 0.055,0.671 ± 0.134,10.400 ± 5.727
SVM_Linear,0.755 ± 0.122,0.794 ± 0.084,0.686 ± 0.109,0.706 ± 0.106,0.720 ± 0.165,0.755 ± 0.201,0.707 ± 0.103,0.658 ± 0.182,10.400 ± 5.727
ExtraTrees,0.744 ± 0.140,0.819 ± 0.058,0.705 ± 0.131,0.727 ± 0.126,0.788 ± 0.064,0.663 ± 0.241,0.698 ± 0.132,0.791 ± 0.118,10.400 ± 5.727
LogisticRegression,0.742 ± 0.136,0.791 ± 0.087,0.717 ± 0.143,0.728 ± 0.148,0.766 ± 0.063,0.720 ± 0.206,0.731 ± 0.117,0.736 ± 0.144,10.400 ± 5.727
LightGBM,0.732 ± 0.126,0.801 ± 0.062,0.695 ± 0.119,0.716 ± 0.117,0.746 ± 0.049,0.680 ± 0.240,0.689 ± 0.125,0.751 ± 0.053,10.400 ± 5.727
RandomForest,0.725 ± 0.156,0.814 ± 0.085,0.698 ± 0.119,0.707 ± 0.126,0.721 ± 0.074,0.721 ± 0.237,0.704 ± 0.126,0.693 ± 0.099,10.400 ± 5.727
KNN,0.719 ± 0.169,0.808 ± 0.067,0.600 ± 0.061,0.625 ± 0.062,0.640 ± 0.141,0.706 ± 0.219,0.636 ± 0.064,0.544 ± 0.187,10.400 ± 5.727
XGBoost,0.719 ± 0.147,0.790 ± 0.054,0.692 ± 0.069,0.703 ± 0.070,0.706 ± 0.122,0.756 ± 0.234,0.702 ± 0.109,0.649 ± 0.150,10.400 ± 5.727
GradientBoosting,0.709 ± 0.158,0.788 ± 0.065,0.590 ± 0.100,0.585 ± 0.135,0.587 ± 0.081,0.746 ± 0.235,0.642 ± 0.109,0.424 ± 0.127,10.400 ± 5.727
NaiveBayes,0.691 ± 0.163,0.739 ± 0.069,0.603 ± 0.157,0.602 ± 0.188,0.626 ± 0.140,0.763 ± 0.240,0.667 ± 0.118,0.440 ± 0.346,10.400 ± 5.727
