Feature,Selection_Count,Selection_Frequency,Family
Post2_IH_IntensityHistogramMode_Intensity,4,0.8,Histogram
ADC_IB_MedianIntensity,3,0.6,Intensity
ADC_IH_IntensityHistogramMedian_Intensity,3,0.6,Histogram
Post2_GLCM_Correlation,2,0.4,GLCM
Post2_Morph_MaxIntensityCoor_PerimeterCoor_2DAxialSmallestDist_mm,2,0.4,Morphology
Post2_IH_IntensityHistogramMaximumGreyLevel_Intensity,2,0.4,Histogram
Post2_IB_MaximumIntensity,2,0.4,Intensity
Post2_IB_50thIntensityPercentile,2,0.4,Intensity
ADC_Morph_SurfaceToVolumeRatio_cm,2,0.4,Morphology
Post2_Morph_RadiusSphereNorm_CentroidCoor_WCentroidCoor_Dist,2,0.4,Morphology
Post2_Morph_Compacity,2,0.4,Morphology
ADC_GLCM_ClusterTendency,2,0.4,GLCM
Post2_IB_MedianIntensity,2,0.4,Intensity
ADC_GLSZM_LowGrayLevelZoneEmphasis,1,0.2,GLSZM
Post2_GLSZM_GreyLevelVariance,1,0.2,GLSZM
ADC_GLRLM_RunEntropy,1,0.2,GLRLM
Post2_IH_IntensityHistogram50thPercentile,1,0.2,Histogram
ADC_GLSZM_LargeZoneLowGreyLevelEmphasis,1,0.2,GLSZM
ADC_IH_IntensityHistogramSkewness_Intensity,1,0.2,Histogram
ADC_GLSZM_SmallZoneLowGreyLevelEmphasis,1,0.2,GLSZM
Post2_GLCM_DifferenceVariance,1,0.2,GLCM
ADC_IH_IntensityHistogramVariance_Intensity,1,0.2,Histogram
ADC_Morph_RadiusRoiNorm_MaxIntensityCoor_PerimeterCoor_2DCoronalSmallestDist,1,0.2,Morphology
ADC_GLCM_AngularSecondMoment,1,0.2,GLCM
ADC_Morph_MaxIntensityCoor_PerimeterCoor_2DCoronalSmallestDist_mm,1,0.2,Morphology
ADC_GLSZM_GreyLevelVariance,1,0.2,GLSZM
Post2_GLSZM_SmallZoneLowGreyLevelEmphasis,1,0.2,GLSZM
ADC_Morph_Compactness2,1,0.2,Morphology
ADC_Morph_MaxIntensityCoor_PerimeterCoor_2DSagittalSmallestDist_mm,1,0.2,Morphology
Post2_IH_IntensityHistogramMinimumGreyLevel_Intensity,1,0.2,Histogram
ADC_IB_50thIntensityPercentile,1,0.2,Intensity
ADC_GLSZM_SmallZoneEmphasis,1,0.2,GLSZM
ADC_Morph_RadiusSphereNorm_MaxIntensityCoor_PerimeterCoor_2DAxialSmallestDist,1,0.2,Morphology
ADC_Morph_RadiusRoiNorm_MaxIntensityCoor_PerimeterCoor_2DAxialSmallestDist,1,0.2,Morphology
Post2_Morph_IntegratedIntensity_Intensity,1,0.2,Morphology
Post2_NGTDM_Busyness,1,0.2,NGTDM
ADC_IH_MaximumHistogramGradient_Intensity,1,0.2,Histogram
Post2_GLSZM_SmallZoneEmphasis,1,0.2,GLSZM
Post2_GLCM_InverseVariance,1,0.2,GLCM
Post2_Morph_SphericalDisproportion,1,0.2,Morphology
Post2_IH_MinimumHistogramGradientGreyLevel_Intensity,1,0.2,Histogram
Post2_GLSZM_NormalisedGreyLevelNonUniformity,1,0.2,GLSZM
Post2_Morph_RadiusRoiNorm_MaxIntensityCoor_RoiCentroidCoor_Dist,1,0.2,Morphology
Post2_Morph_Asphericity,1,0.2,Morphology
ADC_NGTDM_Coarseness,1,0.2,NGTDM
ADC_Morph_Compactness1,1,0.2,Morphology
Post2_IH_IntensityHistogramMedian_Intensity,1,0.2,Histogram
