Curve,FPR,TPR,AUC
Positive_Class,0.0,0.0,0.7378125
Positive_Class,0.0,0.015625,0.7378125
Positive_Class,0.0,0.28125,0.7378125
Positive_Class,0.02,0.28125,0.7378125
Positive_Class,0.02,0.359375,0.7378125
Positive_Class,0.04,0.359375,0.7378125
Positive_Class,0.04,0.375,0.7378125
Positive_Class,0.06,0.375,0.7378125
Positive_Class,0.06,0.390625,0.7378125
Positive_Class,0.08,0.390625,0.7378125
Positive_Class,0.08,0.421875,0.7378125
Positive_Class,0.1,0.421875,0.7378125
Positive_Class,0.1,0.4375,0.7378125
Positive_Class,0.12,0.4375,0.7378125
Positive_Class,0.12,0.453125,0.7378125
Positive_Class,0.16,0.453125,0.7378125
Positive_Class,0.16,0.484375,0.7378125
Positive_Class,0.18,0.484375,0.7378125
Positive_Class,0.18,0.5,0.7378125
Positive_Class,0.2,0.5,0.7378125
Positive_Class,0.2,0.53125,0.7378125
Positive_Class,0.24,0.53125,0.7378125
Positive_Class,0.24,0.59375,0.7378125
Positive_Class,0.26,0.59375,0.7378125
Positive_Class,0.26,0.6875,0.7378125
Positive_Class,0.28,0.6875,0.7378125
Positive_Class,0.28,0.703125,0.7378125
Positive_Class,0.34,0.703125,0.7378125
Positive_Class,0.34,0.71875,0.7378125
Positive_Class,0.36,0.71875,0.7378125
Positive_Class,0.36,0.734375,0.7378125
Positive_Class,0.4,0.734375,0.7378125
Positive_Class,0.4,0.765625,0.7378125
Positive_Class,0.46,0.765625,0.7378125
Positive_Class,0.46,0.78125,0.7378125
Positive_Class,0.5,0.78125,0.7378125
Positive_Class,0.5,0.796875,0.7378125
Positive_Class,0.54,0.796875,0.7378125
Positive_Class,0.54,0.8125,0.7378125
Positive_Class,0.68,0.8125,0.7378125
Positive_Class,0.68,0.84375,0.7378125
Positive_Class,0.72,0.84375,0.7378125
Positive_Class,0.72,0.875,0.7378125
Positive_Class,0.76,0.875,0.7378125
Positive_Class,0.76,0.890625,0.7378125
Positive_Class,0.8,0.890625,0.7378125
Positive_Class,0.8,0.921875,0.7378125
Positive_Class,0.84,0.921875,0.7378125
Positive_Class,0.84,0.96875,0.7378125
