iter	Passed	Remaining
0	1	315
1	2	237
2	3	206
3	4	196
4	4	187
5	5	180
6	6	181
7	7	178
8	8	173
9	8	169
10	9	166
11	10	164
12	11	163
13	12	162
14	12	160
15	13	158
16	14	158
17	15	156
18	16	156
19	17	155
20	18	155
21	19	154
22	20	154
23	21	154
24	21	153
25	22	153
26	23	152
27	24	152
28	25	150
29	26	149
30	27	147
31	27	146
32	28	144
33	29	143
34	30	141
35	30	140
36	31	139
37	32	138
38	33	137
39	33	135
40	34	134
41	35	134
42	36	133
43	37	132
44	38	131
45	39	130
46	39	130
47	40	129
48	41	127
49	42	126
50	43	125
51	43	124
52	44	123
53	45	122
54	46	122
55	47	121
56	48	120
57	49	120
58	49	119
59	50	118
60	51	117
61	52	116
62	52	115
63	53	114
64	54	113
65	55	113
66	56	112
67	57	111
68	58	110
69	58	109
70	59	108
71	60	107
72	61	107
73	62	106
74	63	105
75	63	104
76	64	103
77	65	102
78	66	101
79	67	100
80	67	99
81	68	98
82	69	97
83	70	96
84	70	95
85	71	95
86	73	95
87	73	94
88	74	93
89	75	92
90	76	91
91	76	90
92	77	89
93	78	88
94	79	87
95	80	87
96	81	86
97	81	85
98	82	84
99	83	83
100	84	82
101	84	81
102	85	80
103	86	79
104	87	78
105	87	77
106	88	77
107	89	76
108	90	75
109	91	74
110	91	73
111	92	72
112	93	72
113	94	71
114	95	70
115	96	69
116	97	68
117	97	67
118	98	67
119	99	66
120	100	65
121	101	64
122	101	63
123	102	62
124	103	62
125	104	61
126	105	60
127	106	59
128	106	58
129	107	57
130	108	57
131	109	56
132	110	55
133	110	54
134	111	53
135	112	52
136	113	52
137	114	51
138	115	50
139	115	49
140	116	48
141	117	47
142	118	47
143	118	46
144	119	45
145	120	44
146	121	43
147	122	42
148	123	42
149	123	41
150	124	40
151	125	39
152	126	38
153	127	37
154	127	37
155	128	36
156	129	35
157	131	34
158	131	34
159	132	33
160	133	32
161	134	31
162	135	30
163	135	29
164	136	29
165	137	28
166	138	27
167	139	26
168	140	25
169	141	25
170	142	24
171	143	23
172	144	22
173	145	21
174	146	20
175	147	20
176	148	19
177	148	18
178	149	17
179	151	16
180	152	15
181	152	15
182	153	14
183	154	13
184	155	12
185	156	11
186	157	10
187	157	10
188	158	9
189	159	8
190	160	7
191	160	6
192	162	5
193	162	5
194	163	4
195	164	3
196	165	2
197	165	1
198	166	0
199	167	0
