Comparison,Best_Model,Other_Model,Mean_AUC_Best,Mean_AUC_Other,Mean_AUC_Difference,Wilcoxon_Statistic,Wilcoxon_p_value,Wilcoxon_q_value_FDR
LogisticRegression vs ExtraTrees,LogisticRegression,ExtraTrees,0.7925793650793651,0.7375396825396827,0.0550396825396825,1.0,0.125,0.375
LogisticRegression vs GradientBoosting,LogisticRegression,GradientBoosting,0.7925793650793651,0.7393452380952381,0.053234126984127036,3.0,0.3125,0.46875
LogisticRegression vs KNN,LogisticRegression,KNN,0.7925793650793651,0.7648809523809523,0.027698412698412687,4.0,0.4375,0.5625
LogisticRegression vs LightGBM,LogisticRegression,LightGBM,0.7925793650793651,0.7221825396825396,0.07039682539682542,1.0,0.125,0.375
LogisticRegression vs NaiveBayes,LogisticRegression,NaiveBayes,0.7925793650793651,0.7252777777777777,0.06730158730158733,3.0,0.3125,0.46875
LogisticRegression vs RandomForest,LogisticRegression,RandomForest,0.7925793650793651,0.7405952380952381,0.051984126984127,3.0,0.3125,0.46875
LogisticRegression vs SVM_Linear,LogisticRegression,SVM_Linear,0.7925793650793651,0.7951587301587301,-0.0025793650793650923,4.0,0.875,0.984375
LogisticRegression vs SVM_RBF,LogisticRegression,SVM_RBF,0.7925793650793651,0.7886507936507936,0.003928571428571415,7.0,1.0,1.0
LogisticRegression vs XGBoost,LogisticRegression,XGBoost,0.7925793650793651,0.6548809523809525,0.13769841269841268,0.0,0.0625,0.375
