Model,AUC,PR_AUC,Accuracy,Balanced_Accuracy,Precision,Recall,F1,Specificity,n_feats
SVM_Linear,0.728 ± 0.138,0.802 ± 0.061,0.621 ± 0.062,0.641 ± 0.090,0.624 ± 0.127,0.724 ± 0.233,0.642 ± 0.089,0.558 ± 0.120,11.600 ± 6.229
LogisticRegression,0.722 ± 0.136,0.794 ± 0.077,0.648 ± 0.088,0.649 ± 0.090,0.713 ± 0.204,0.602 ± 0.140,0.625 ± 0.079,0.697 ± 0.232,11.600 ± 6.229
KNN,0.710 ± 0.146,0.773 ± 0.075,0.617 ± 0.090,0.628 ± 0.130,0.629 ± 0.101,0.704 ± 0.228,0.637 ± 0.082,0.552 ± 0.207,11.600 ± 6.229
SVM_RBF,0.709 ± 0.164,0.795 ± 0.078,0.643 ± 0.138,0.655 ± 0.167,0.679 ± 0.144,0.700 ± 0.226,0.662 ± 0.087,0.610 ± 0.278,11.600 ± 6.229
ExtraTrees,0.669 ± 0.175,0.762 ± 0.091,0.653 ± 0.118,0.675 ± 0.144,0.706 ± 0.142,0.656 ± 0.233,0.649 ± 0.096,0.694 ± 0.216,11.600 ± 6.229
GradientBoosting,0.667 ± 0.094,0.738 ± 0.104,0.595 ± 0.150,0.582 ± 0.150,0.573 ± 0.200,0.731 ± 0.229,0.626 ± 0.186,0.433 ± 0.290,11.600 ± 6.229
RandomForest,0.666 ± 0.167,0.719 ± 0.117,0.633 ± 0.167,0.632 ± 0.187,0.628 ± 0.115,0.715 ± 0.230,0.657 ± 0.143,0.550 ± 0.210,11.600 ± 6.229
NaiveBayes,0.643 ± 0.107,0.707 ± 0.154,0.612 ± 0.128,0.592 ± 0.123,0.601 ± 0.128,0.660 ± 0.151,0.624 ± 0.127,0.525 ± 0.206,11.600 ± 6.229
LightGBM,0.640 ± 0.138,0.699 ± 0.084,0.614 ± 0.118,0.621 ± 0.142,0.607 ± 0.101,0.704 ± 0.239,0.633 ± 0.122,0.538 ± 0.113,11.600 ± 6.229
XGBoost,0.636 ± 0.152,0.741 ± 0.097,0.599 ± 0.070,0.601 ± 0.068,0.608 ± 0.172,0.625 ± 0.141,0.597 ± 0.130,0.578 ± 0.132,11.600 ± 6.229
