,SVM_Linear,LogisticRegression,KNN,SVM_RBF,ExtraTrees,GradientBoosting,RandomForest,NaiveBayes,LightGBM,XGBoost
SVM_Linear,0.0,-0.84140546771864,-0.20096584955507546,1.1534275524084054,1.6337986048994413,0.8412849517957702,0.9369244185859358,0.2600564218667966,1.147265366366554,1.0499001655857385
LogisticRegression,0.84140546771864,0.0,0.45040430902706813,2.7712079781423475,2.582169781440399,1.6573157808830437,1.8782002815743213,0.9701423892099197,1.8761193076917984,1.9252922149879246
KNN,0.20096584955507546,-0.45040430902706813,0.0,1.2712823751058673,1.940942790191013,1.1006549920328519,1.2861533725413576,0.5006376215472385,1.323329668272783,1.3814191069854493
SVM_RBF,-1.1534275524084054,-2.7712079781423475,-1.2712823751058673,0.0,1.16933544547643,0.21043637574744364,0.32788662566850413,-0.5324049795164615,0.6202814738816168,0.4734508038384978
ExtraTrees,-1.6337986048994413,-2.582169781440399,-1.940942790191013,-1.16933544547643,0.0,-0.5288318415899405,-0.6614197246938027,-1.3795707148283143,-0.0386900116259894,-0.31191741882127444
GradientBoosting,-0.8412849517957702,-1.6573157808830437,-1.1006549920328519,-0.21043637574744364,0.5288318415899405,0.0,0.0922257449923451,-0.5387935332215482,0.47269764926427815,0.32595886936946755
RandomForest,-0.9369244185859358,-1.8782002815743213,-1.2861533725413576,-0.32788662566850413,0.6614197246938027,-0.0922257449923451,0.0,-0.7079990436739062,0.42493740704949157,0.2352123847927404
NaiveBayes,-0.2600564218667966,-0.9701423892099197,-0.5006376215472385,0.5324049795164615,1.3795707148283143,0.5387935332215482,0.7079990436739062,0.0,0.8835813432097998,0.7889371737550139
LightGBM,-1.147265366366554,-1.8761193076917984,-1.323329668272783,-0.6202814738816168,0.0386900116259894,-0.47269764926427815,-0.42493740704949157,-0.8835813432097998,0.0,-0.3032329619156732
XGBoost,-1.0499001655857385,-1.9252922149879246,-1.3814191069854493,-0.4734508038384978,0.31191741882127444,-0.32595886936946755,-0.2352123847927404,-0.7889371737550139,0.3032329619156732,0.0
