,LogisticRegression,SVM_Linear,NaiveBayes,RandomForest,ExtraTrees,KNN,SVM_RBF,GradientBoosting,LightGBM,XGBoost
LogisticRegression,0.0,1.9682539165769435,2.0031365772473615,1.6659781459842724,1.1779687289541414,1.1059647794240308,0.6731169069800472,1.2602141512158713,1.570329347964319,2.1394740963671426
SVM_Linear,-1.9682539165769435,0.0,0.46628662157254763,0.5283162511720457,0.2089166040155999,0.18592600492987085,-0.29102820708871596,0.4659712834270259,0.7526415210103617,1.3573707367826948
NaiveBayes,-2.0031365772473615,-0.46628662157254763,0.0,0.0597157988093383,-0.18922893366156515,-0.1713630322723536,-0.5557179998066788,0.0770664302979629,0.3913043570139656,0.8804349268804523
RandomForest,-1.6659781459842724,-0.5283162511720457,-0.0597157988093383,0.0,-0.34315786884836735,-0.3115973367774486,-0.6788209964810292,0.046700469109699085,0.5005796186986415,1.222836382746458
ExtraTrees,-1.1779687289541414,-0.2089166040155999,0.18922893366156515,0.34315786884836735,0.0,-0.008192080498223737,-0.4686171890736704,0.3150088543475502,0.5967451571778992,1.1595817746219113
KNN,-1.1059647794240308,-0.18592600492987085,0.1713630322723536,0.3115973367774486,0.008192080498223737,0.0,-0.37344675388285703,0.26585140802711643,0.5651257002745848,1.1792861320863102
SVM_RBF,-0.6731169069800472,0.29102820708871596,0.5557179998066788,0.6788209964810292,0.4686171890736704,0.37344675388285703,0.0,0.6056961072184931,0.839519349678308,1.3457380226381115
GradientBoosting,-1.2602141512158713,-0.4659712834270259,-0.0770664302979629,-0.046700469109699085,-0.3150088543475502,-0.26585140802711643,-0.6056961072184931,0.0,0.4047847381545183,0.9600187325536501
LightGBM,-1.570329347964319,-0.7526415210103617,-0.3913043570139656,-0.5005796186986415,-0.5967451571778992,-0.5651257002745848,-0.839519349678308,-0.4047847381545183,0.0,0.691496324225075
XGBoost,-2.1394740963671426,-1.3573707367826948,-0.8804349268804523,-1.222836382746458,-1.1595817746219113,-1.1792861320863102,-1.3457380226381115,-0.9600187325536501,-0.691496324225075,0.0
