Model,AUC,PR_AUC,Accuracy,Balanced_Accuracy,Precision,Recall,F1,Specificity,n_feats
LogisticRegression,0.716 ± 0.123,0.780 ± 0.046,0.671 ± 0.062,0.680 ± 0.108,0.708 ± 0.182,0.724 ± 0.178,0.682 ± 0.016,0.637 ± 0.220,8.000 ± 6.928
SVM_Linear,0.715 ± 0.137,0.790 ± 0.061,0.607 ± 0.063,0.626 ± 0.026,0.617 ± 0.163,0.747 ± 0.178,0.644 ± 0.100,0.506 ± 0.153,8.000 ± 6.928
NaiveBayes,0.694 ± 0.139,0.788 ± 0.056,0.649 ± 0.086,0.639 ± 0.155,0.678 ± 0.189,0.759 ± 0.196,0.679 ± 0.032,0.520 ± 0.352,8.000 ± 6.928
RandomForest,0.686 ± 0.088,0.753 ± 0.059,0.639 ± 0.037,0.640 ± 0.052,0.677 ± 0.172,0.602 ± 0.120,0.615 ± 0.093,0.678 ± 0.180,8.000 ± 6.928
ExtraTrees,0.685 ± 0.102,0.768 ± 0.053,0.644 ± 0.088,0.640 ± 0.087,0.673 ± 0.123,0.590 ± 0.110,0.619 ± 0.089,0.690 ± 0.154,8.000 ± 6.928
KNN,0.672 ± 0.045,0.706 ± 0.152,0.626 ± 0.032,0.635 ± 0.031,0.655 ± 0.193,0.633 ± 0.098,0.621 ± 0.103,0.636 ± 0.146,8.000 ± 6.928
SVM_RBF,0.669 ± 0.168,0.770 ± 0.062,0.612 ± 0.044,0.603 ± 0.083,0.591 ± 0.124,0.806 ± 0.208,0.660 ± 0.107,0.400 ± 0.236,8.000 ± 6.928
GradientBoosting,0.666 ± 0.107,0.727 ± 0.066,0.620 ± 0.057,0.632 ± 0.105,0.628 ± 0.129,0.712 ± 0.182,0.644 ± 0.064,0.553 ± 0.154,8.000 ± 6.928
LightGBM,0.660 ± 0.099,0.716 ± 0.087,0.621 ± 0.058,0.644 ± 0.087,0.665 ± 0.191,0.676 ± 0.208,0.629 ± 0.077,0.612 ± 0.237,8.000 ± 6.928
XGBoost,0.651 ± 0.081,0.721 ± 0.100,0.605 ± 0.100,0.614 ± 0.075,0.636 ± 0.213,0.617 ± 0.192,0.590 ± 0.174,0.611 ± 0.196,8.000 ± 6.928
