,LogisticRegression,SVM_Linear,NaiveBayes,RandomForest,ExtraTrees,KNN,SVM_RBF,GradientBoosting,LightGBM,XGBoost
LogisticRegression,1.0,0.049038829420462365,0.04516263089579259,0.09571776729684668,0.23880907313632682,0.2687417642067209,0.5008729186351994,0.20759211925709142,0.11633850990904203,0.032397291626158974
SVM_Linear,0.049038829420462365,1.0,0.6410103535869991,0.5972798540191837,0.8345133420326634,0.8525027887683705,0.7710297466184411,0.6412360557088186,0.45166535977277367,0.1746634415346574
NaiveBayes,0.04516263089579259,0.6410103535869991,1.0,0.9523819885604202,0.8499133915235112,0.8639383207507004,0.5784036496450671,0.9385706982920053,0.6955722786874923,0.37862374259910114
RandomForest,0.09571776729684668,0.5972798540191837,0.9523819885604202,1.0,0.7314796981323186,0.7553465584862288,0.49725128837284815,0.9627519564599261,0.6166670093155893,0.22139150066566382
ExtraTrees,0.23880907313632682,0.8345133420326634,0.8499133915235112,0.7314796981323186,1.0,0.9934637385579783,0.6393432885302811,0.752754931074473,0.550677538566937,0.24621912485039466
KNN,0.2687417642067209,0.8525027887683705,0.8639383207507004,0.7553465584862288,0.9934637385579783,1.0,0.7088159676394814,0.7903536494633202,0.571988268920057,0.2382842585038476
SVM_RBF,0.5008729186351994,0.7710297466184411,0.5784036496450671,0.49725128837284815,0.6393432885302811,0.7088159676394814,1.0,0.5447165694708094,0.40117793560730797,0.1783870194140066
GradientBoosting,0.20759211925709142,0.6412360557088186,0.9385706982920053,0.9627519564599261,0.752754931074473,0.7903536494633202,0.5447165694708094,1.0,0.6856357481026968,0.3370457871362069
LightGBM,0.11633850990904203,0.45166535977277367,0.6955722786874923,0.6166670093155893,0.550677538566937,0.571988268920057,0.40117793560730797,0.6856357481026968,1.0,0.4892536898868858
XGBoost,0.032397291626158974,0.1746634415346574,0.37862374259910114,0.22139150066566382,0.24621912485039466,0.2382842585038476,0.1783870194140066,0.3370457871362069,0.4892536898868858,1.0
