Model,AUC,PR_AUC,Accuracy,Balanced_Accuracy,Precision,Recall,F1,Specificity,n_feats
NaiveBayes,0.660 ± 0.089,0.697 ± 0.087,0.682 ± 0.100,0.650 ± 0.113,0.676 ± 0.100,0.851 ± 0.115,0.742 ± 0.019,0.449 ± 0.311,6.000 ± 0.000
SVM_RBF,0.657 ± 0.175,0.732 ± 0.122,0.582 ± 0.127,0.574 ± 0.100,0.590 ± 0.168,0.770 ± 0.108,0.654 ± 0.133,0.378 ± 0.193,6.000 ± 0.000
SVM_Linear,0.651 ± 0.140,0.692 ± 0.142,0.575 ± 0.131,0.581 ± 0.112,0.606 ± 0.186,0.717 ± 0.144,0.633 ± 0.128,0.444 ± 0.241,6.000 ± 0.000
LogisticRegression,0.638 ± 0.135,0.686 ± 0.136,0.612 ± 0.077,0.606 ± 0.103,0.643 ± 0.100,0.638 ± 0.114,0.628 ± 0.053,0.573 ± 0.223,6.000 ± 0.000
LightGBM,0.590 ± 0.194,0.673 ± 0.133,0.536 ± 0.103,0.564 ± 0.130,0.577 ± 0.144,0.567 ± 0.266,0.541 ± 0.121,0.560 ± 0.142,6.000 ± 0.000
RandomForest,0.568 ± 0.169,0.656 ± 0.122,0.543 ± 0.074,0.553 ± 0.099,0.593 ± 0.149,0.565 ± 0.113,0.558 ± 0.055,0.542 ± 0.220,6.000 ± 0.000
XGBoost,0.561 ± 0.136,0.681 ± 0.138,0.516 ± 0.088,0.546 ± 0.122,0.562 ± 0.172,0.566 ± 0.270,0.527 ± 0.123,0.527 ± 0.208,6.000 ± 0.000
GradientBoosting,0.557 ± 0.103,0.626 ± 0.126,0.536 ± 0.123,0.557 ± 0.109,0.600 ± 0.191,0.588 ± 0.116,0.567 ± 0.103,0.527 ± 0.248,6.000 ± 0.000
ExtraTrees,0.542 ± 0.157,0.611 ± 0.158,0.549 ± 0.072,0.564 ± 0.099,0.606 ± 0.167,0.541 ± 0.176,0.540 ± 0.110,0.587 ± 0.257,6.000 ± 0.000
KNN,0.536 ± 0.181,0.577 ± 0.180,0.526 ± 0.152,0.519 ± 0.112,0.531 ± 0.157,0.844 ± 0.225,0.636 ± 0.159,0.193 ± 0.095,6.000 ± 0.000
