,NaiveBayes,SVM_RBF,SVM_Linear,LogisticRegression,LightGBM,RandomForest,XGBoost,GradientBoosting,ExtraTrees,KNN
NaiveBayes,0.0,0.17601421253245036,0.5297818894108998,-0.22279490395673568,1.3672710053335237,1.6172095643032283,1.091465731364273,1.8199290049161385,1.500935515663802,1.950487786715427
SVM_RBF,-0.17601421253245036,0.0,0.8104147898335252,-0.7632355394850392,1.4016689143162944,1.972302275716188,1.1389921369622644,2.110662114057697,1.7427448665625889,2.430167270078297
SVM_Linear,-0.5297818894108998,-0.8104147898335252,0.0,-2.395064197067198,1.1631951638578815,1.6099376229259001,0.8674020301602358,1.85667065771503,1.3360439291466069,2.0058105835703595
LogisticRegression,0.22279490395673568,0.7632355394850392,2.395064197067198,0.0,1.7208631019658462,2.4666292828387237,1.4609561850603259,2.6703377157070474,2.115079268717669,2.6991517921318415
LightGBM,-1.3672710053335237,-1.4016689143162944,-1.1631951638578815,-1.7208631019658462,0.0,0.04286495017253329,-0.46673612807864584,0.18152127750280234,-0.08753416702230057,0.1367058848396624
RandomForest,-1.6172095643032283,-1.972302275716188,-1.6099376229259001,-2.4666292828387237,-0.04286495017253329,0.0,-0.5398317149976138,0.21349647732083063,-0.15701194365033994,0.14260935472459887
XGBoost,-1.091465731364273,-1.1389921369622644,-0.8674020301602358,-1.4609561850603259,0.46673612807864584,0.5398317149976138,0.0,0.6721251633786519,0.2625421908433383,0.4768613875732363
GradientBoosting,-1.8199290049161385,-2.110662114057697,-1.85667065771503,-2.6703377157070474,-0.18152127750280234,-0.21349647732083063,-0.6721251633786519,0.0,-0.28928748946278404,-0.016993132441424703
ExtraTrees,-1.500935515663802,-1.7427448665625889,-1.3360439291466069,-2.115079268717669,0.08753416702230057,0.15701194365033994,-0.2625421908433383,0.28928748946278404,0.0,0.2917648003176866
KNN,-1.950487786715427,-2.430167270078297,-2.0058105835703595,-2.6991517921318415,-0.1367058848396624,-0.14260935472459887,-0.4768613875732363,0.016993132441424703,-0.2917648003176866,0.0
