Model,AUC,PR_AUC,Accuracy,Balanced_Accuracy,Precision,Recall,F1,Specificity,n_feats
SVM_RBF,0.622 ± 0.132,0.675 ± 0.094,0.530 ± 0.134,0.547 ± 0.072,0.570 ± 0.159,0.779 ± 0.187,0.627 ± 0.102,0.316 ± 0.253,16.000 ± 0.000
NaiveBayes,0.617 ± 0.124,0.687 ± 0.089,0.551 ± 0.073,0.568 ± 0.082,0.575 ± 0.099,0.731 ± 0.294,0.605 ± 0.113,0.404 ± 0.198,16.000 ± 0.000
ExtraTrees,0.610 ± 0.187,0.704 ± 0.093,0.580 ± 0.068,0.578 ± 0.093,0.607 ± 0.113,0.627 ± 0.120,0.603 ± 0.066,0.529 ± 0.192,16.000 ± 0.000
LogisticRegression,0.602 ± 0.152,0.668 ± 0.090,0.533 ± 0.076,0.538 ± 0.096,0.570 ± 0.134,0.570 ± 0.139,0.551 ± 0.086,0.507 ± 0.195,16.000 ± 0.000
SVM_Linear,0.593 ± 0.143,0.657 ± 0.089,0.523 ± 0.075,0.527 ± 0.080,0.541 ± 0.119,0.760 ± 0.217,0.611 ± 0.104,0.293 ± 0.099,16.000 ± 0.000
RandomForest,0.584 ± 0.116,0.687 ± 0.110,0.552 ± 0.062,0.554 ± 0.060,0.579 ± 0.127,0.598 ± 0.132,0.573 ± 0.089,0.511 ± 0.115,16.000 ± 0.000
XGBoost,0.569 ± 0.086,0.656 ± 0.116,0.553 ± 0.073,0.562 ± 0.063,0.581 ± 0.140,0.598 ± 0.146,0.571 ± 0.102,0.527 ± 0.089,16.000 ± 0.000
KNN,0.566 ± 0.103,0.584 ± 0.130,0.570 ± 0.097,0.595 ± 0.128,0.616 ± 0.110,0.616 ± 0.237,0.587 ± 0.071,0.573 ± 0.152,16.000 ± 0.000
GradientBoosting,0.551 ± 0.103,0.650 ± 0.140,0.517 ± 0.100,0.510 ± 0.097,0.532 ± 0.136,0.621 ± 0.138,0.564 ± 0.116,0.398 ± 0.076,16.000 ± 0.000
LightGBM,0.526 ± 0.075,0.619 ± 0.124,0.505 ± 0.067,0.521 ± 0.062,0.546 ± 0.142,0.557 ± 0.155,0.529 ± 0.095,0.484 ± 0.131,16.000 ± 0.000
