Model,FS_METHOD,N_Outer_Folds,Mean_Selected_Features,Std_Selected_Features,Min_Selected_Features,Max_Selected_Features,Selected_Features_Per_Fold
LogisticRegression,corr_mrmr,5,14.8,3.63318042491699,10,18,"[np.int64(16), np.int64(10), np.int64(18), np.int64(18), np.int64(12)]"
SVM_RBF,corr_mrmr,5,14.8,3.63318042491699,10,18,"[np.int64(16), np.int64(10), np.int64(18), np.int64(18), np.int64(12)]"
SVM_Linear,corr_mrmr,5,14.8,3.63318042491699,10,18,"[np.int64(16), np.int64(10), np.int64(18), np.int64(18), np.int64(12)]"
RandomForest,corr_mrmr,5,14.8,3.63318042491699,10,18,"[np.int64(16), np.int64(10), np.int64(18), np.int64(18), np.int64(12)]"
GradientBoosting,corr_mrmr,5,14.8,3.63318042491699,10,18,"[np.int64(16), np.int64(10), np.int64(18), np.int64(18), np.int64(12)]"
ExtraTrees,corr_mrmr,5,14.8,3.63318042491699,10,18,"[np.int64(16), np.int64(10), np.int64(18), np.int64(18), np.int64(12)]"
KNN,corr_mrmr,5,14.8,3.63318042491699,10,18,"[np.int64(16), np.int64(10), np.int64(18), np.int64(18), np.int64(12)]"
NaiveBayes,corr_mrmr,5,14.8,3.63318042491699,10,18,"[np.int64(16), np.int64(10), np.int64(18), np.int64(18), np.int64(12)]"
XGBoost,corr_mrmr,5,14.8,3.63318042491699,10,18,"[np.int64(16), np.int64(10), np.int64(18), np.int64(18), np.int64(12)]"
LightGBM,corr_mrmr,5,14.8,3.63318042491699,10,18,"[np.int64(16), np.int64(10), np.int64(18), np.int64(18), np.int64(12)]"
