,ExtraTrees,KNN,RandomForest,XGBoost,LogisticRegression,SVM_Linear,NaiveBayes,SVM_RBF,GradientBoosting,LightGBM
ExtraTrees,1.0,0.37528847023883305,0.1444793972009603,0.30694825132319237,0.005633054320712114,0.008029169162934058,0.11172677501565782,0.007751083852169714,0.0024998620142661796,0.014492123890477986
KNN,0.37528847023883305,1.0,0.8907024785792333,0.928668011934719,0.2007475160928779,0.09985043903447546,0.489120071903148,0.09809755516235251,0.07056072658181445,0.20270256948643106
RandomForest,0.1444793972009603,0.8907024785792333,1.0,0.9592610712741153,0.1603639471393009,0.09388241483994204,0.5504142402238064,0.08245227705712434,0.017263763659255672,0.08483870393586103
XGBoost,0.30694825132319237,0.928668011934719,0.9592610712741153,1.0,0.2182232863171173,0.12556372702098872,0.5813727086698361,0.09460511781173603,0.03894561744365618,0.1395380092590206
LogisticRegression,0.005633054320712114,0.2007475160928779,0.1603639471393009,0.2182232863171173,1.0,0.6041068002645308,0.5461419167891853,0.5898133653953412,0.6084347555564769,0.9661335139183705
SVM_Linear,0.008029169162934058,0.09985043903447546,0.09388241483994204,0.12556372702098872,0.6041068002645308,1.0,0.34774037322653684,0.8478305732360156,0.9848834559115942,0.6827527354283192
NaiveBayes,0.11172677501565782,0.489120071903148,0.5504142402238064,0.5813727086698361,0.5461419167891853,0.34774037322653684,1.0,0.35370660008050014,0.362764450753987,0.5968901808042895
SVM_RBF,0.007751083852169714,0.09809755516235251,0.08245227705712434,0.09460511781173603,0.5898133653953412,0.8478305732360156,0.35370660008050014,1.0,0.9050432323272409,0.6199122170381954
GradientBoosting,0.0024998620142661796,0.07056072658181445,0.017263763659255672,0.03894561744365618,0.6084347555564769,0.9848834559115942,0.362764450753987,0.9050432323272409,1.0,0.6011525679353376
LightGBM,0.014492123890477986,0.20270256948643106,0.08483870393586103,0.1395380092590206,0.9661335139183705,0.6827527354283192,0.5968901808042895,0.6199122170381954,0.6011525679353376,1.0
