Competitor,Competitor_Mean_AUC,ΔMean_AUC,p_value,p_Bonferroni,Significant_uncorrected,Significant_Bonferroni
LightGBM,0.5696,+0.1521,1.45e-02,6.52e-01,✓,✗
GradientBoosting,0.5957,+0.1261,2.50e-03,1.12e-01,✓,✗
SVM_RBF,0.5969,+0.1248,7.75e-03,3.49e-01,✓,✗
NaiveBayes,0.6056,+0.1161,1.12e-01,1.00e+00,✗,✗
SVM_Linear,0.6213,+0.1004,8.03e-03,3.61e-01,✓,✗
LogisticRegression,0.6261,+0.0956,5.63e-03,2.53e-01,✓,✗
XGBoost,0.6861,+0.0356,3.07e-01,1.00e+00,✗,✗
RandomForest,0.6956,+0.0261,1.44e-01,1.00e+00,✗,✗
KNN,0.7045,+0.0173,3.75e-01,1.00e+00,✗,✗
