,ExtraTrees,KNN,RandomForest,XGBoost,LogisticRegression,SVM_Linear,NaiveBayes,SVM_RBF,GradientBoosting,LightGBM
ExtraTrees,0.0,0.886610813012859,1.4593114797409508,1.0216464780399241,2.768409989625385,2.650840740935859,1.590479446209822,2.6627245317136405,3.0233581414031168,2.444827995754269
KNN,-0.886610813012859,0.0,0.13741537532741488,0.08952081510349705,1.279424769249804,1.6455791289929735,0.691709034993392,1.6541474593385876,1.8082941840304174,1.2738895299910125
RandomForest,-1.4593114797409508,-0.13741537532741488,0.0,-0.05108088047164828,1.403848570302407,1.675264156022705,0.5971395112657295,1.7366312661171284,2.3810415698437555,1.7232755672965585
XGBoost,-1.0216464780399241,-0.08952081510349705,0.05108088047164828,0.0,1.231266287531283,1.5318326896614458,0.5513807284899815,1.6715904065161689,2.064761023421889,1.4775136230896624
LogisticRegression,-2.768409989625385,-1.279424769249804,-1.403848570302407,-1.231266287531283,0.0,0.5185038132088041,-0.6035514238250348,0.5391065078253137,0.5123090169610313,0.04245809880476447
SVM_Linear,-2.650840740935859,-1.6455791289929735,-1.675264156022705,-1.5318326896614458,-0.5185038132088041,0.0,-0.9389812459311654,0.1918871882726959,-0.018946911963337427,-0.40870967141551534
NaiveBayes,-1.590479446209822,-0.691709034993392,-0.5971395112657295,-0.5513807284899815,0.6035514238250348,0.9389812459311654,0.0,0.9274236809406811,0.9101100958877305,0.5288778609499205
SVM_RBF,-2.6627245317136405,-1.6541474593385876,-1.7366312661171284,-1.6715904065161689,-0.5391065078253137,-0.1918871882726959,-0.9274236809406811,0.0,-0.11929299591369229,-0.49597476242922883
GradientBoosting,-3.0233581414031168,-1.8082941840304174,-2.3810415698437555,-2.064761023421889,-0.5123090169610313,0.018946911963337427,-0.9101100958877305,0.11929299591369229,0.0,-0.5227437794080773
LightGBM,-2.444827995754269,-1.2738895299910125,-1.7232755672965585,-1.4775136230896624,-0.04245809880476447,0.40870967141551534,-0.5288778609499205,0.49597476242922883,0.5227437794080773,0.0
