Fold,Feature_Rank_in_Fold,Feature_Name
1,1,Post2_GLSZM_GreyLevelVariance
1,2,Post2_GLSZM_GreyLevelNonUniformity
1,3,Post1_IH_MinimumHistogramGradientGreyLevel_Intensity
1,4,Pre_Morph_Compacity
1,5,Pre_GLSZM_HighGrayLevelZoneEmphasis
1,6,Post2_GLSZM_ZoneSizeVariance
1,7,Post2_IH_IntensityHistogramMode_Intensity
1,8,Pre_Morph_SphericalDisproportion
1,9,Pre_GLCM_ClusterProminence
1,10,Post2_GLSZM_NormalisedGreyLevelNonUniformity
1,11,Pre_Morph_Volume_cm3
1,12,Post1_IH_IntensityHistogramMode_Intensity
2,1,Post1_IH_MinimumHistogramGradientGreyLevel_Intensity
2,2,Pre_Morph_Compacity
2,3,Pre_NGTDM_Complexity
2,4,Pre_Morph_SurfaceToVolumeRatio_cm
2,5,Post2_GLSZM_NormalisedGreyLevelNonUniformity
2,6,Pre_Morph_SurfaceArea_cm2
2,7,Post1_IH_IntensityHistogramMode_Intensity
2,8,Post1_Morph_Compactness1
2,9,Pre_GLCM_ClusterProminence
2,10,Post2_IH_IntensityHistogramMode_Intensity
2,11,Post1_Morph_Volume_cm3
2,12,Post2_Morph_Compactness1
2,13,Post2_IH_IntensityHistogramRange_Intensity
2,14,Post2_GLSZM_NormalisedZoneSizeNonUniformity
2,15,Pre_Morph_Compactness1
2,16,Pre_Morph_ApproximateVolume_cm3
3,1,Post2_IH_IntensityHistogramMode_Intensity
3,2,Post2_GLSZM_GreyLevelNonUniformity
3,3,Post2_GLSZM_LargeZoneLowGreyLevelEmphasis
3,4,Post2_GLSZM_GreyLevelVariance
4,1,Pre_GLSZM_GreyLevelVariance
4,2,Pre_Morph_MaxIntensityCoor_PerimeterCoor_2DSagittalSmallestDist_mm
4,3,Post2_IH_IntensityHistogramMode_Intensity
4,4,Post2_Morph_Compactness2
4,5,Post2_GLSZM_ZoneSizeVariance
4,6,Pre_Morph_CentreOfMassShift_mm
4,7,Pre_Morph_RadiusRoiNorm_MaxIntensityCoor_PerimeterCoor_2DCoronalSmallestDist
4,8,Post1_IH_IntensityHistogramMode_Intensity
4,9,Pre_NGTDM_Complexity
4,10,Post2_GLSZM_GreyLevelVariance
4,11,Pre_GLRLM_ShortRunLowGreyLevelEmphasis
4,12,Post2_Morph_Compactness1
4,13,Post2_IH_MinimumHistogramGradient_Intensity
4,14,Pre_Morph_RadiusSphereNorm_MaxIntensityCoor_PerimeterCoor_3DSmallestDist
4,15,Pre_IH_IntensityHistogramRange_Intensity
4,16,Pre_Morph_Compactness1
5,1,Pre_Morph_SurfaceArea_cm2
5,2,Post2_GLSZM_GreyLevelVariance
5,3,Post1_Morph_Compactness2
5,4,Pre_GLSZM_HighGrayLevelZoneEmphasis
