,XGBoost,GradientBoosting,ExtraTrees,KNN,SVM_Linear,RandomForest,SVM_RBF,NaiveBayes,LogisticRegression,LightGBM
XGBoost,1.0,0.9764394137979621,0.14932038180141372,0.4095961892606528,0.5457556143889305,0.6271397958747763,0.25848726732131067,0.8606565082359052,0.2685723692387595,0.486115875690033
GradientBoosting,0.9764394137979621,1.0,0.17308727575875293,0.4551328329546307,0.5047007524281515,0.5427305552307591,0.24088886341915394,0.8828665524466468,0.2357230817550403,0.4879418888383815
ExtraTrees,0.14932038180141372,0.17308727575875293,1.0,0.6178858530711937,0.3191865292543279,0.22071792470511598,0.8229456341671263,0.22992523044343371,0.8886522292950193,0.016362717184949534
KNN,0.4095961892606528,0.4551328329546307,0.6178858530711937,1.0,0.7679043229077657,0.6660850864535734,0.7563244665267721,0.3756874938396493,0.7138667298751921,0.1768365812290449
SVM_Linear,0.5457556143889305,0.5047007524281515,0.3191865292543279,0.7679043229077657,1.0,0.8080370967559285,0.3856383837016807,0.5214975810392719,0.24359832664331127,0.21013045824119958
RandomForest,0.6271397958747763,0.5427305552307591,0.22071792470511598,0.6660850864535734,0.8080370967559285,1.0,0.42046390669787026,0.6545306101907973,0.36878357585884636,0.10424114641731261
SVM_RBF,0.25848726732131067,0.24088886341915394,0.8229456341671263,0.7563244665267721,0.3856383837016807,0.42046390669787026,1.0,0.2622310879463349,0.8960838736318377,0.08494778194280664
NaiveBayes,0.8606565082359052,0.8828665524466468,0.22992523044343371,0.3756874938396493,0.5214975810392719,0.6545306101907973,0.2622310879463349,1.0,0.24163964082878409,0.7760553481647462
LogisticRegression,0.2685723692387595,0.2357230817550403,0.8886522292950193,0.7138667298751921,0.24359832664331127,0.36878357585884636,0.8960838736318377,0.24163964082878409,1.0,0.06487941188164413
LightGBM,0.486115875690033,0.4879418888383815,0.016362717184949534,0.1768365812290449,0.21013045824119958,0.10424114641731261,0.08494778194280664,0.7760553481647462,0.06487941188164413,1.0
