,ExtraTrees,LogisticRegression,LightGBM,SVM_Linear,SVM_RBF,XGBoost,RandomForest,NaiveBayes,KNN,GradientBoosting
ExtraTrees,0.0,-0.6885181007733203,0.5102165160819169,0.09911010202006511,0.31051543349636906,0.9001566177888825,-0.1729675689376458,0.38432584670724,0.8908724616225515,1.1910734857966279
LogisticRegression,0.6885181007733203,0.0,1.1565760337894608,1.578075738884799,2.093073245278006,1.4743898637546964,0.6046265228804318,1.3664599114921823,1.902483609018609,1.9168215773672463
LightGBM,-0.5102165160819169,-1.1565760337894608,0.0,-0.42538087009905373,-0.24070668474986442,0.46887651431350974,-0.8243894932728631,-0.1021556076964488,0.3552304623257387,0.6666773989696846
SVM_Linear,-0.09911010202006511,-1.578075738884799,0.42538087009905373,0.0,0.6116174218965851,0.6749412702646376,-0.24296076552880602,0.3672992316206838,0.9465580998667856,1.0796557525162949
SVM_RBF,-0.31051543349636906,-2.093073245278006,0.24070668474986442,-0.6116174218965851,0.0,0.5069045568190945,-0.48429052965125174,0.15613650343826524,0.8184408275339011,0.8808474824410394
XGBoost,-0.9001566177888825,-1.4743898637546964,-0.46887651431350974,-0.6749412702646376,-0.5069045568190945,0.0,-1.553960067124006,-0.3416172323021696,0.12534358243673754,0.42120608231977397
RandomForest,0.1729675689376458,-0.6046265228804318,0.8243894932728631,0.24296076552880602,0.48429052965125174,1.553960067124006,0.0,0.5378179073321129,1.0652026295917547,1.8090873213639989
NaiveBayes,-0.38432584670724,-1.3664599114921823,0.1021556076964488,-0.3672992316206838,-0.15613650343826524,0.3416172323021696,-0.5378179073321129,0.0,0.575068263618706,0.6214477479470537
KNN,-0.8908724616225515,-1.902483609018609,-0.3552304623257387,-0.9465580998667856,-0.8184408275339011,-0.12534358243673754,-1.0652026295917547,-0.575068263618706,0.0,0.15890746668056455
GradientBoosting,-1.1910734857966279,-1.9168215773672463,-0.6666773989696846,-1.0796557525162949,-0.8808474824410394,-0.42120608231977397,-1.8090873213639989,-0.6214477479470537,-0.15890746668056455,0.0
